Thumb_R	Index_R	Thumb_L	Index_L	Time
0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.0	0.24
0.0	0.0	0.0	0.0	0.28
0.0	0.0	0.0	0.0	0.32
0.0	0.0	0.0	0.0	0.36
0.0	0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.0	0.44
0.0	0.0	0.0	0.0	0.48
0.0	0.0	0.0	0.0	0.52
0.0	0.0	0.0	0.0	0.56
0.0	0.0	0.0	0.0	0.6
0.0	0.0	0.0	0.0	0.64
0.0	0.0	0.0	0.0	0.68
0.0	0.0	0.0	0.0	0.72
0.0	0.0	0.0	0.0	0.76
0.0	0.0	0.0	0.0	0.8
0.0	0.0	0.0	0.0	0.84
0.0	0.0	0.0	0.0	0.88
0.0	0.0	0.0	0.0	0.92
0.0	0.0	0.0	0.0	0.96
0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.0	1.04
0.0	0.0	0.0	0.0	1.08
0.0	0.0	0.0	0.0	1.12
0.0	0.0	0.0	0.0	1.16
0.0	0.0	0.0	0.0	1.2
0.0	0.0	0.0	0.0	1.24
0.0	0.0	0.0	0.0	1.28
0.0	0.0	0.0	0.0	1.32
0.0	0.0	0.0	0.0	1.36
0.0	0.0	0.0	0.0	1.4
0.0	0.0	1395.1971362269142	1365.0229169687623	1.44
0.0	0.0	1258.3362306748224	1244.8449427597145	1.48
0.0	0.0	1199.4455672084687	1166.517954558612	1.52
0.0	0.0	1129.2684898895654	1140.4141540967787	1.56
0.0	0.0	1173.1915226083995	1135.8078627629843	1.6
0.0	0.0	1184.9382927215493	1153.6183470001342	1.64
0.0	0.0	1210.7322558296105	1172.9166109907103	1.68
0.0	0.0	1244.6126221742338	1202.6847018070332	1.72
0.0	0.0	1253.5588845016316	1224.61649817167	1.76
0.0	0.0	1262.3700480617235	1239.2551874085727	1.8
0.0	0.0	1241.9866689452185	1236.0149058116017	1.84
1242.3655073525317	1212.26523861273	1148.4309255238027	1144.9880113520196	1.88
1221.5080421042994	1196.8367135321434	1113.7083048409118	1115.7232552165601	1.92
1203.110719839613	1181.877309966111	1097.3213070045704	1088.5194157799467	1.96
1190.2346704145352	1170.6507204701804	1087.5282038398882	1087.4342908267354	2.0
1174.4471430856304	1158.8491598382152	1070.7655950150947	1090.392662022454	2.04
1158.5695013660904	1140.2657731013464	1064.7213773934634	1099.8679839549347	2.08
1129.5288613252017	1141.674713726311	1076.1938679313876	1176.1333919004846	2.12
1112.709634595897	1113.820803746885	1071.107278028843	1217.0337548006864	2.16
1097.2899595902193	1097.7527878612307	1065.4807174605814	1223.0771164329578	2.2
1084.853745554927	1100.7712094609976	1066.540445297974	1195.655262530784	2.24
1084.2784396462123	1087.3135917191946	1058.459681548347	1181.9389501569226	2.28
1086.7240933822482	1086.1611387653734	1040.9969953175462	1099.4666804876722	2.32
1087.3900821958798	1107.6259103765512	1027.5193622391666	1060.554087739596	2.36
1089.8656296093982	1117.5544927468957	1031.259951151245	1089.5506440096274	2.4
1095.0494427562498	1128.1142822770507	1034.716996780631	1100.5204182904245	2.44
1092.0796963328191	1108.8328658225225	1039.0815806885641	1101.2060090654961	2.48
1068.1815543260032	1092.379665787426	1047.7818467281793	1117.9708843286455	2.52
1038.1583530556884	1051.7748379949455	1045.0186850216942	1114.9096924092012	2.56
1028.7012124024168	1036.685349239513	1037.6976630673125	1119.0493323370317	2.6
1011.1779625679567	1035.936007187855	1022.4823983467079	1106.2876507237618	2.64
1002.6044866204292	1021.7718851499496	1017.0156876007826	1088.9837392225515	2.68
1014.5588333172361	1018.0133316770914	1020.6262940508798	1099.5401813734982	2.72
1048.3465399666238	1063.528249821684	1024.947843115862	1094.5946912973877	2.76
0.0	0.0	990.6162954110476	1038.6131014214761	2.8
1116.312632461325	1085.2487900984502	925.8730469700665	972.2897132554483	2.84
1098.9326256650584	1080.960840011159	859.3952869686473	869.6071895325827	2.88
1072.9626158190572	1065.023268903293	785.9318314621403	756.6854562856222	2.92
1036.3451955657922	1078.377010866648	712.382409722906	639.7424104749119	2.96
1060.4467693774102	1071.9920114090157	651.3010226053605	574.464980097076	3.0
1080.9506838527375	1086.9960936050818	577.5453314974333	490.5957732780592	3.04
1091.4514196892867	1108.533494459254	501.6624489303594	397.70492871107626	3.08
1093.9477575198991	1114.8648789880442	420.20540415939115	348.7292762302204	3.12
1102.0118986838584	1117.9970774652181	358.0166793767177	251.46997427006087	3.16
1107.8603144678655	1118.1899397664347	287.13355171209594	275.27703700975246	3.2
0.0	0.0	1116.137925331096	1123.4240846340924	3.24
0.0	0.0	1109.9050786378045	1117.018106425358	3.28
0.0	0.0	1104.9548161744528	1113.2654279606415	3.32
0.0	0.0	1101.81440091465	1113.8094210049055	3.36
0.0	0.0	1099.5642636582957	1119.6472533300505	3.4
0.0	0.0	1101.6589166296435	1132.2178291090506	3.44
0.0	0.0	1117.563895820207	1145.2819339523453	3.48
0.0	0.0	1117.027335132352	1155.36800473867	3.52
0.0	0.0	1132.0526373349167	1156.138859548909	3.56
0.0	0.0	1152.7960717650017	1168.7559781793839	3.6
0.0	0.0	1166.9919621048816	1185.3434190437983	3.64
0.0	0.0	1175.996822059108	1183.468772721619	3.68
1179.477747091665	1176.132733512025	562.0562327438608	474.6029900447088	3.72
1143.8214164603676	1140.1492899774498	601.663364211225	584.7031502370867	3.76
1097.659050334699	1092.5151855928025	634.1395110162134	615.3182894901769	3.8
1062.1431610684717	1053.9577163737408	665.3082254513617	663.8010528031226	3.84
1035.3449608279634	1017.6592275187342	696.6243258081806	703.2657095088753	3.88
1030.6481303827727	995.1263131808287	731.078746185901	756.7342662716646	3.92
1022.9958400855865	1001.564044540865	765.6164989337808	783.045557871138	3.96
1031.2165859760798	1010.0197376586583	808.7194558659075	839.1602235675932	4.0
1048.6906450337744	1028.3652090983317	853.8308393844953	876.3197664145362	4.04
1080.5766671695135	1065.507967098694	903.5261531151351	902.8492967475247	4.08
1119.2386947325904	1103.4789787529546	949.8215514064232	955.4204816093021	4.12
1150.8533894936672	1136.747392519253	984.8463574982787	975.5375806166362	4.16
1161.6160920765808	1151.8832411620185	1000.2700286676139	998.1299475803061	4.2
1163.2404599312185	1151.169549190708	996.8585408854588	1004.7820853102403	4.24
1151.2784356012435	1139.4428745241794	989.1925515108478	1001.8491762271266	4.28
1138.43843644729	1122.6429154633079	974.6419720778592	986.2389390143087	4.32
1123.7647390799668	1107.5590315800173	955.14920993085	962.5362967507365	4.36
1111.9910924536136	1093.5962495346485	941.039855246715	950.761423131518	4.4
1102.2077175816298	1082.2197430265942	928.0387343687482	931.2629461732536	4.44
1094.925633894444	1079.488599184154	923.4069370588235	937.2621364979432	4.48
1095.2820241417573	1078.3862205511452	917.8038187235306	939.3124712104471	4.52
1089.8966608962162	1075.9626389064358	915.7718646909507	939.5610804590559	4.56
1085.9673022414515	1071.7004772346684	913.2442392756393	935.6531546978406	4.6
1083.8063901553476	1068.1543335339281	908.0969418647228	930.9302234008188	4.64
1079.32014382026	1065.6714758788096	907.1707744755095	930.7979528117019	4.68
1079.027757045417	1064.9046767762675	903.9510007576488	927.6050320532023	4.72
1079.8420015745326	1065.2530063225909	903.1746007224106	931.2475545706719	4.76
1080.7894842640153	1066.1468407826344	904.6791546127483	925.3727286253046	4.8
1084.347949297877	1064.852001099217	905.4912987087055	927.271751026801	4.84
1086.9016223726767	1067.0517338694217	909.3039207228471	924.7653033359451	4.88
1090.6303128598868	1072.2324748507979	913.2770244004256	928.7298580783078	4.92
1097.452387607945	1078.7767520077446	919.2100028112851	931.593759367444	4.96
1099.2823318625724	1082.2564079262547	921.5407570220138	933.4894496237678	5.0
1098.1675754698751	1084.5482351861638	919.9862810177734	932.3352076731874	5.04
1100.4260830892422	1084.1442815073644	922.0199349359407	931.9582656256405	5.08
1099.0390797969528	1086.0533373971634	920.6493491021404	928.2230321892221	5.12
1100.9692064753194	1081.6780198038775	923.1237211272764	929.3566170604934	5.16
1100.731585469434	1081.9378818901162	922.5646415413403	934.7755200454517	5.2
