Thumb_R	Index_R	Thumb_L	Index_L	Time
0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.2
0.0	0.0	1398.671917928945	1370.583070031414	0.24
0.0	0.0	1397.4584042776967	1365.6238412524328	0.28
0.0	0.0	1397.5599030691328	1366.3421772373842	0.32
0.0	0.0	1396.2171230273893	1365.097764451505	0.36
0.0	0.0	1396.0106276367617	1362.3144586560093	0.4
0.0	0.0	1394.1815732781467	1363.4859583817158	0.44
0.0	0.0	1394.1388859675246	1363.00599382828	0.48
0.0	0.0	1395.1774911711298	1361.4280413847507	0.52
0.0	0.0	1393.7993374085654	1361.2323978048346	0.56
0.0	0.0	1395.3752892232096	1361.9043194327037	0.6
0.0	0.0	1396.1608361925466	1362.313436264813	0.64
0.0	0.0	1399.092041354393	1363.0883292154633	0.68
0.0	0.0	1401.4813787554428	1363.6783132156445	0.72
0.0	0.0	1400.6552925991832	1365.520101943816	0.76
0.0	0.0	1389.598564703955	1358.345289426257	0.8
0.0	0.0	1367.036892697335	1341.8451375785974	0.84
0.0	0.0	1324.1954642373883	1298.1220580250977	0.88
0.0	0.0	1290.179596212178	1247.855185329647	0.92
0.0	0.0	1248.3034994919665	1216.7415819467424	0.96
0.0	0.0	1213.5328008732397	1169.6725989736574	1.0
0.0	0.0	1186.506430362246	1119.6683461775556	1.04
0.0	0.0	1167.376252680118	1093.6901761308147	1.08
0.0	0.0	1170.8179596744299	1074.7971963658083	1.12
0.0	0.0	1165.0066660103532	1079.8277876080638	1.16
0.0	0.0	1162.7129242102426	1086.945949758311	1.2
0.0	0.0	1162.5340500175332	1097.4249671799869	1.24
0.0	0.0	1163.6254890029438	1105.6943100544809	1.28
0.0	0.0	1171.3984921981403	1109.3528701285204	1.32
0.0	0.0	1176.2191193481976	1120.5061300782027	1.36
0.0	0.0	1168.030902303712	1125.1701080428004	1.4
0.0	0.0	1175.0948235793505	1123.134351187981	1.44
0.0	0.0	1172.686255027944	1126.44113964485	1.48
0.0	0.0	1161.8697365901596	1127.791358299199	1.52
1169.243472098091	1145.5528107583032	1071.0225429063628	1055.8075496095303	1.56
1169.4914900703902	1153.7759613743794	1079.2601167013152	1059.6658680717214	1.6
1170.089950415381	1160.2172865584553	1077.1580192897004	1091.3899165972043	1.64
1177.399435294186	1177.2892739159493	1077.4838201905602	1071.5054758224157	1.68
0.0	0.0	1092.4907524684754	1095.911335664545	1.72
1194.9342899093112	1188.7781388562519	1106.587181090798	1142.839049792478	1.76
1205.7516605123653	1184.2488138683239	1104.2469980528447	1125.8320160849569	1.8
0.0	0.0	1093.1854269641149	1167.6546387734945	1.84
0.0	0.0	1068.954996885343	1094.499471437324	1.88
0.0	0.0	1067.0453230498595	1091.1185646776719	1.92
0.0	0.0	1225.546790139383	1223.8475976003185	1.96
0.0	0.0	1235.4170924731206	1192.9112343790673	2.0
0.0	0.0	1236.4432921181774	1158.8604168210713	2.04
0.0	0.0	1213.5413975471406	1118.9331648254642	2.08
0.0	0.0	1170.647949973972	1060.0271839422935	2.12
0.0	0.0	1133.172999383156	1105.759494771685	2.16
0.0	0.0	1105.7755114303695	1008.6510117178849	2.2
0.0	0.0	1087.5820277399882	1016.3464953472932	2.24
0.0	0.0	1081.202955596578	1020.9463410281227	2.28
0.0	0.0	1070.3118744668773	1032.2631369621777	2.32
0.0	0.0	1060.7116846482832	1015.3017340567619	2.36
0.0	0.0	1039.0442520524455	1025.6003545619656	2.4
0.0	0.0	1031.023946034729	996.0930603218795	2.44
0.0	0.0	1036.8250209435064	990.1696455266551	2.48
0.0	0.0	1087.8608124729424	1030.0380502121604	2.52
0.0	0.0	1151.1161720160703	1122.7923856000486	2.56
0.0	0.0	1196.2591583853182	1158.051050826355	2.6
0.0	0.0	1231.0075631652494	1174.921037741892	2.64
0.0	0.0	1241.6213140516984	1179.925326037611	2.68
0.0	0.0	1228.6987861383918	1178.5206103198343	2.72
0.0	0.0	1218.940726991025	1193.754534154993	2.76
0.0	0.0	1193.5223747554521	1195.3152528530254	2.8
0.0	0.0	1190.1633169998183	1199.7307373361623	2.84
0.0	0.0	1204.1710564410898	1190.8979468115656	2.88
0.0	0.0	1190.6477361926395	1188.7032812809625	2.92
0.0	0.0	1203.8757705396467	1180.328193376697	2.96
0.0	0.0	1209.9962082266409	1188.3973580281781	3.0
0.0	0.0	1209.9114754042375	1194.964616341923	3.04
0.0	0.0	1173.5035503193742	1204.8499915294885	3.08
0.0	0.0	1192.2731050874554	1203.2850651469248	3.12
0.0	0.0	1210.1368925099525	1194.8944486186078	3.16
0.0	0.0	1213.823685319136	1199.6858127736539	3.2
0.0	0.0	1215.1784182629303	1206.638940608593	3.24
0.0	0.0	1207.987311950967	1204.5664895744967	3.28
0.0	0.0	1204.4187549083529	1198.9194113696776	3.32
0.0	0.0	1190.7349727169433	1193.3498586222706	3.36
0.0	0.0	1201.0673289559193	1190.318289528816	3.4
0.0	0.0	1213.1671026920894	1180.5516704691067	3.44
0.0	0.0	1211.477725904309	1175.182158027872	3.48
0.0	0.0	1220.4990991045113	1188.8974973874485	3.52
0.0	0.0	1223.2092514937208	1194.570422188561	3.56
0.0	0.0	1231.1634513551483	1214.2742626565812	3.6
0.0	0.0	1249.9652536617878	1233.717672913585	3.64
0.0	0.0	1267.6229481177645	1264.9218903201593	3.68
0.0	0.0	1272.603244433302	1283.2734784604147	3.72
0.0	0.0	1280.1303989774879	1290.5093290416855	3.76
0.0	0.0	1278.071616240569	1289.515911675975	3.8
0.0	0.0	1260.5673604322235	1301.9973167559097	3.84
0.0	0.0	1287.1544935039778	1302.1513907340968	3.88
0.0	0.0	1264.4801965985368	1282.7995632849177	3.92
0.0	0.0	1256.2284499230348	1252.1110560417458	3.96
0.0	0.0	1242.4930632142637	1258.9821475904942	4.0
0.0	0.0	1241.4632413701827	1254.375159588334	4.04
0.0	0.0	1235.255531215755	1257.1242243161298	4.08
0.0	0.0	1234.431705937065	1245.2504762089393	4.12
0.0	0.0	1228.9860372311805	1187.2901175867314	4.16
0.0	0.0	1229.3285620074319	1213.1349123965838	4.2
0.0	0.0	1230.323083273887	1219.6832301972008	4.24
0.0	0.0	1241.123283748886	1244.06693390474	4.28
0.0	0.0	1272.6488665997385	1266.8691296715476	4.32
0.0	0.0	1292.6357694730677	1262.4239318928978	4.36
0.0	0.0	1322.907654380962	1294.6053037140223	4.4
0.0	0.0	1352.7581474551553	1323.7403915611849	4.44
0.0	0.0	1371.956608298841	1340.559917748561	4.48
0.0	0.0	1383.6472898577097	1351.7030107981768	4.52
0.0	0.0	1391.7475221000675	1365.5463151850827	4.56
0.0	0.0	1394.4677930825583	1362.4448884017213	4.6
0.0	0.0	1392.1987645261158	1361.9066994870873	4.64
0.0	0.0	1381.55164374846	1362.2100842470788	4.68
1379.4493788740638	1360.1613207836383	749.5039416840509	727.0013699292741	4.72
1373.0759232030116	1353.8261578123838	705.5215117157505	656.8315351314286	4.76
1351.1595488223588	1341.6850668886352	681.3694139005279	631.2370157974075	4.8
1342.6121908147609	1330.8948336611336	656.246009465409	581.1041323586174	4.84
1327.396764918616	1301.5780161503492	646.0149401017699	555.1090267697555	4.88
1293.5366891637093	1264.2504289370193	640.9219624637553	546.7756128981976	4.92
1260.3610022507155	1223.154179798009	638.4014421894485	556.3454017514342	4.96
1230.9257722890507	1183.1532647150354	644.5179105746362	550.4560656852691	5.0
1211.6724876241185	1153.9164097511882	638.978821664353	553.25471065019	5.04
1191.6312675572472	1125.3553054425545	646.5427798823529	544.6225563662815	5.08
1173.9602609696467	1103.5694333897375	647.0255525774301	540.6171077811878	5.12
1162.370705787224	1094.4700289792445	644.8248614768147	491.8237554268262	5.16
1156.5716783946475	1092.817241215335	651.5475055255464	517.6792358516966	5.2
1158.1385107671492	1106.3382653281246	656.582845819798	554.9407888749361	5.24
1162.080520895229	1119.6194772971833	655.7188413494113	558.6548625038197	5.28
1171.1152676667234	1136.6919074197317	660.3089201491886	565.1109846507597	5.32
1173.3177714961007	1144.2296351554473	666.7623748227575	598.7352094943844	5.36
