Thumb_R	Index_R	Thumb_L	Index_L	Time
0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.0	0.24
0.0	0.0	0.0	0.0	0.28
0.0	0.0	0.0	0.0	0.32
0.0	0.0	0.0	0.0	0.36
0.0	0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.0	0.44
0.0	0.0	0.0	0.0	0.48
0.0	0.0	0.0	0.0	0.52
0.0	0.0	0.0	0.0	0.56
1270.3007410775033	1375.7081022285288	1219.479691208626	1221.6635859786545	0.6
1250.1336645308236	1348.9814037198523	1180.567008171044	1160.7826128910478	0.64
1229.532472929173	1318.8958429955594	1155.3267905912971	1102.486388019519	0.68
1210.9815847876605	1276.6092520530917	1148.3399770150963	1080.142272642111	0.72
1207.9686838158896	1237.1392012836864	1150.6665267044168	1038.757774487172	0.76
1225.4327485345123	1215.3693961636143	1166.769706276544	1032.2980509504516	0.8
1247.2529959374995	1200.8374784378918	1173.3154341001898	1033.8989605140996	0.84
1253.2094229114518	1200.1565182311845	1174.2127433334733	1034.7669391401093	0.88
1262.0192511169405	1201.3960294806093	1177.4580258111293	1059.151811196286	0.92
1263.1880156253817	1207.405539386399	1182.815433571973	1089.8625480970597	0.96
1259.3113675846419	1211.5311503575817	1176.710612054041	1081.0220200570975	1.0
1251.9917131256927	1211.385420075083	1169.784382057331	1086.9956049650013	1.04
1255.6118191913413	1213.7808968390505	1169.0670173209053	1090.0011964887758	1.08
1255.314043286738	1212.7916232002572	1170.1066294891968	1092.939714382242	1.12
1255.4103278849984	1207.8135960459078	1174.7033590014034	1095.6913340589708	1.16
1253.5668860397536	1206.9734967324914	1167.7788521197378	1095.18903983628	1.2
1250.3512456228118	1204.4080359667455	1158.6726992288286	1088.4497886960025	1.24
1238.0077173129346	1196.4866914132197	1140.1477806783578	1063.3964382083846	1.28
1238.3056780832212	1193.4055854036867	1117.6883658653774	1051.4816063894514	1.32
1232.814379723918	1194.7971725522136	1101.354076358846	1060.4062541559492	1.36
1230.784137891963	1197.5259921045185	1084.29461149927	1050.2254185359868	1.4
1229.2232953285613	1201.9873158334299	1079.882413776409	1055.4051374326566	1.44
1228.8775042587392	1205.9398722831102	1089.0555690907477	1054.1351474965675	1.48
1234.1370779003605	1209.9703418041572	1096.7672443934691	1081.9491879540642	1.52
1240.0412992017323	1209.2540354480125	1104.7072829605656	1084.76162149763	1.56
1240.981840972576	1207.33466710167	1112.5088189265912	1099.9556294897084	1.6
1234.1175798531833	1200.9934532192535	1114.5417927534718	1103.5829389709802	1.64
1225.3570274302426	1199.4207495641	1111.3145128586602	1112.1559613627664	1.68
1218.2892319402174	1196.7565850663657	1109.3407026255477	1121.0646657015786	1.72
1209.8685735004742	1208.5376289895084	1101.3125229571958	1106.1402699893872	1.76
1201.0966892189772	1185.4274092798653	1095.8868748082318	1112.0388380798051	1.8
1199.7637171570934	1192.80533558152	1098.5083279218554	1116.2312593521572	1.84
1200.3709504743742	1196.0042005594828	1098.190711695598	1103.3275942896357	1.88
1205.600728826098	1198.349654467332	1103.8545381820088	1114.8633822969832	1.92
1213.2325331565087	1206.4006995208742	1109.835457304527	1098.3786327466414	1.96
1214.7865225577505	1220.2920159140515	1112.1944753408748	1115.5535101521211	2.0
1215.2926280761733	1220.17380187544	1110.3897273910293	1126.713449337222	2.04
1214.2648080712365	1226.5975004024428	1108.9113025591498	1097.2030768695238	2.08
1212.3920219820893	1228.3024165300844	1110.0791372363346	1116.6040711937428	2.12
1213.2363622873368	1223.654824899194	1110.4067362280005	1115.2146029712671	2.16
1217.1100324681722	1230.3724338601012	1113.06063043092	1102.7903715832597	2.2
1222.791513985581	1240.7731798438554	1118.8917573451029	1120.684506559374	2.24
1231.1659614104342	1262.485389728719	1126.609914616529	1130.2679024680945	2.28
1241.6144951328108	1281.316857059087	1134.4245721853943	1125.094664706274	2.32
1250.477297726962	1279.7851846483711	1133.1964231562247	1127.854769659576	2.36
1269.0066636333686	1285.774774213087	0.0	0.0	2.4
1270.3278592162892	1286.3051733671766	0.0	0.0	2.44
1263.4669191349615	1286.9544245923946	0.0	0.0	2.48
1271.582381197765	1299.060401410091	0.0	0.0	2.52
1318.4050185402386	1344.2350046061028	0.0	0.0	2.56
1329.9865908726827	1367.9574147487815	0.0	0.0	2.6
1352.8027119886237	1418.3225398429715	0.0	0.0	2.64
1354.8470738875903	1376.5718019599399	0.0	0.0	2.68
1363.7117436267174	1363.611669832522	1099.921481818036	1119.5104472442713	2.72
1376.5233247854069	1380.3934820054953	1089.5612703241834	1112.1379306377173	2.76
1393.639191998825	1386.877243817941	1081.1110459653787	1121.1206351978562	2.8
1411.6151943576253	1400.8311043220567	1068.0770246376926	1085.2794874134347	2.84
1420.1112154081563	1402.5184376679424	1056.3628022890462	1075.8894461905127	2.88
1419.6573479372234	1395.6732790072845	1053.0185470918577	1069.1132988788925	2.92
1410.9759094684944	1386.512274888929	1046.2291750068348	1061.081101367609	2.96
1403.5740476135525	1379.798566130627	1040.347450476159	1054.7499087819067	3.0
1394.0424036584413	1369.7607296593667	1036.402247486281	1049.1956353538858	3.04
1384.2455579818504	1362.8207391727026	1031.7114316274533	1037.7700860331263	3.08
1372.3674123635126	1353.6891421728421	1016.2610572920047	1019.1432783328622	3.12
1360.270795810647	1339.4933867713817	998.5712525351676	1027.7801405421185	3.16
1332.3681886182449	1311.2216793540333	981.7824642359299	985.0674814317885	3.2
1291.1679216867135	1279.22009909082	955.6260645036027	955.3039083102287	3.24
1251.6567327132407	1251.869289151362	923.6717789564594	915.5076551711659	3.28
1225.2157390017533	1218.3162747968086	888.7085710847671	907.8258787165371	3.32
1204.6288587947054	1191.1831255255354	859.5070230917571	870.5527641385273	3.36
1185.5594827607763	1177.4583752241344	837.74291846267	834.6694477912674	3.4
1176.1468370655457	1168.508232082073	808.2174580953231	807.0936434067422	3.44
1177.033758893874	1155.9178793459137	789.2028802897839	811.9331986400093	3.48
1184.5508749775029	1163.6761031323408	767.1500865324717	782.0568185328435	3.52
1193.8093225679377	1179.3192239426578	746.7264279450367	764.0327624685565	3.56
1210.3680211285457	1193.9477865246608	736.0621958710614	755.7643427863571	3.6
1250.3733281103534	1218.4239523476679	734.2754030623308	755.8982827477156	3.64
1243.615643842812	1229.3388087970318	728.1063240510833	746.1017377437807	3.68
1281.2339757372724	1220.4119754774179	719.3523841762159	725.2868060323373	3.72
1272.8063753367016	1201.539528643847	719.4979166138737	717.3952602464485	3.76
1252.2296345259733	1192.9170293479174	712.8441547829684	721.7679952540027	3.8
1237.0565388059554	1172.7138098789	721.9988048129514	738.2698486025826	3.84
1229.0520814400475	1170.5190347055147	720.3748657981323	730.3809623562462	3.88
1225.793969009928	1183.837295882271	723.3773662626944	747.5900144125574	3.92
1224.4585177420897	1217.2483622165737	732.8530573048558	755.1245347932479	3.96
1221.5872034457184	1213.984027440989	741.0974658237114	760.4673704490814	4.0
1191.269589191854	1189.3949209866093	750.8870729036494	780.3253930309907	4.04
1153.6349445767685	1149.385787936916	766.9521782518792	804.0136422797385	4.08
1118.6708845812077	1100.7344076813913	785.5860818535303	803.1996674438332	4.12
1089.508969501605	1089.0965013391358	796.9400503480554	807.8623958477585	4.16
1068.7940352025644	1060.3928953052612	811.98783455025	826.1454675072882	4.2
1059.1417308478244	1037.4090184525753	830.1983266904278	835.1459004042193	4.24
1052.1086049010946	1028.5412622136246	854.8579119305277	885.3526590560741	4.28
1057.8260553100297	1031.9987646772051	867.9148143185877	871.6207933295224	4.32
1064.9718793908294	1039.4356719670513	892.63389260634	901.3835741450129	4.36
1081.889539434144	1050.0265520922467	904.5671634655882	911.3250957215228	4.4
1095.0903307995948	1061.3091283000583	924.6594232510536	939.6332368260446	4.44
1103.745650891686	1072.3178106978637	932.9321879207201	915.1224772624822	4.48
1104.9838212412005	1076.6725187270702	935.0770872004364	934.5302189212279	4.52
1106.299583239095	1076.6476937751097	936.581185797057	927.2633979358081	4.56
1106.7071811418343	1077.2079884209654	933.4831742706496	939.1042071934962	4.6
