Thumb_R	Index_R	Thumb_L	Index_L	Action	start_time	end_time
842.2744557215678	869.4910266225221	0.0	0.0	Cap Off	0.32	0.4
842.2744557215678	869.4910266225221	0.0	0.0	Cap Off	0.57	0.7
842.2744557215678	869.4910266225221	0.0	0.0	Cap Off	0.72	0.83
842.2744557215678	869.4910266225221	0.0	0.0	Cap Off	0.85	1.08
842.2744557215678	869.4910266225221	0.0	0.0	Cap Off	1.099	1.379
842.2744557215678	869.4910266225221	0.0	0.0	Cap Off	1.439	1.699
842.2744557215678	869.4910266225221	0.0	0.0	Cap Off	1.799	1.929
842.2744557215678	869.4910266225221	0.0	0.0	Cap Off	1.949	2.199
941.5419820532244	900.3970327258768	0.0	0.0	Cap Off	2.349	2.459
901.61552056416	823.3965722579243	0.0	0.0	Cap Off	2.479	2.549
1025.42691444539	994.3988595322119	647.6619799561287	627.1504136648525	Cap Off	2.559	3.728
921.7517796071401	911.0267885889114	921.7517796071401	911.0267885889114	Cap Off	3.768	3.928
823.8309083986775	850.3468524636127	823.8309083986775	850.3468524636127	Cap Off	3.938	4.038
680.5170989331112	647.5367423819861	680.5170989331112	647.5367423819861	Cap Off	4.058	4.208
768.3310944878933	721.916822272467	768.3310944878933	721.916822272467	Cap Off	4.248	4.418
848.9116784843762	804.585441401358	848.9116784843762	804.585441401358	Cap Off	4.457	5.047
987.5461210265017	1012.4125240513608	987.5461210265017	1012.4125240513608	Cap Off	5.127	5.247
1010.7027144233872	1079.5650559282617	1010.7027144233872	1079.5650559282617	Cap Off	5.367	5.907
766.4280655053876	716.5152480505712	766.4280655053876	716.5152480505712	Apply Tip	6.056	6.156
1326.4032429496942	1306.29041821441	0.0	0.0	Apply Tip	6.196	6.316
1351.1100974501173	1322.5540251980847	0.0	0.0	Apply Tip	6.336	6.476
1083.9669537242235	1113.0199038123335	364.1645802568329	395.8889329094069	Apply Tip	6.586	6.746
745.9755450135216	811.5911813731651	745.9755450135216	811.5911813731651	Apply Tip	6.766	6.896
851.366547474268	867.0694986362034	851.366547474268	867.0694986362034	Apply Tip	6.916	7.136
775.5235898504847	814.899708902217	775.5235898504847	814.899708902217	Apply Tip	7.196	7.466
764.2726509774274	800.1952275987189	764.2726509774274	800.1952275987189	Apply Tip	7.486	7.876
793.6822377841833	837.1573334678706	793.6822377841833	837.1573334678706	Apply Tip	7.915	8.864
801.3479854159341	843.3759736455397	801.3479854159341	843.3759736455397	Apply Tip	8.885	9.565
813.8271851525357	854.1833707996235	813.8271851525357	854.1833707996235	Apply Tip	9.584	10.134
773.7063497112475	817.0967666412942	773.7063497112475	817.0967666412942	Apply Tip	10.154	10.674
744.4342077316427	789.4899527866896	744.4342077316427	789.4899527866896	Apply Tip	10.714	11.094
757.8892533816678	797.196108805737	757.8892533816678	797.196108805737	Apply Tip	11.114	11.384
759.4344398301962	806.8253356239126	759.4344398301962	806.8253356239126	Apply Tip	11.403	12.083
676.4552726641268	762.3464647348533	676.4552726641268	762.3464647348533	Apply Tip	12.103	12.233
703.779372423665	759.3044880105041	703.779372423665	759.3044880105041	Apply Tip	12.253	12.513
707.9674977919316	750.0822467955403	707.9674977919316	750.0822467955403	Apply Tip	12.533	12.623
576.9132398491308	594.2440445013078	998.1147852237605	1010.8306208759466	Apply Tip	12.663	12.833
422.4507170238381	423.0351871955502	1304.981408379857	1291.2693332217968	Apply Tip	12.853	12.933
832.6506709241311	865.0183821191423	832.6506709241311	865.0183821191423	Apply Tip	12.952	13.062
889.2474784624492	917.9163137416592	889.2474784624492	917.9163137416592	Setting Units	13.192	13.352
913.6005298838265	928.1821932707231	913.6005298838265	928.1821932707231	Setting Units	13.372	13.722
914.4313835107843	906.5378263600054	914.4313835107843	906.5378263600054	Setting Units	13.762	13.882
903.8034348888704	839.2676868424172	903.8034348888704	839.2676868424172	Setting Units	13.902	14.032
919.1312857664436	941.2291171938452	919.1312857664436	941.2291171938452	Setting Units	14.052	14.332
910.7524290977176	976.5472367711856	910.7524290977176	976.5472367711856	Setting Units	14.352	14.482
794.3534153812265	904.150163290281	794.3534153812265	904.150163290281	Setting Units	14.502	14.992
744.874286424133	863.0872171907969	744.874286424133	863.0872171907969	Setting Units	15.031	15.141
754.8030202712592	869.4910266225221	754.8030202712592	869.4910266225221	Setting Units	15.221	15.511
801.6533737378977	881.6558880792775	801.6533737378977	881.6558880792775	Priming	15.611	15.681
951.0007457410851	996.283046629118	951.0007457410851	996.283046629118	Priming	15.701	15.831
1033.3813838062015	1065.0777738202064	1033.3813838062015	1065.0777738202064	Priming	15.851	15.981
1101.006047550304	1149.3615875223202	1101.006047550304	1149.3615875223202	Priming	16.43	16.93
1108.5704129130427	1146.0820922337243	1108.5704129130427	1146.0820922337243	Priming	16.97	19.918
1122.495869184364	1157.763047290566	1122.495869184364	1157.763047290566	Priming	19.958	20.058
1118.649456542011	1141.489964809096	1118.649456542011	1141.489964809096	Priming	20.068	20.228
1130.5057621936116	1138.5148845567496	1130.5057621936116	1138.5148845567496	Priming	20.268	20.688
1168.5538605725644	1213.9856914278866	1168.5538605725644	1213.9856914278866	Priming	20.758	20.978
1060.4329402357766	1087.4145197146775	1060.4329402357766	1087.4145197146775	Priming	21.358	21.508
1008.158335181233	1013.7859809846382	1008.158335181233	1013.7859809846382	Priming	21.547	21.907
1167.0422633542294	1270.936037151929	1167.0422633542294	1270.936037151929	Priming	22.237	22.477
1232.0075670537774	1319.4750074148787	1232.0075670537774	1319.4750074148787	Priming	22.497	22.727
