Wrist_R	Thumb_R	Index_R	Middle_R	Ring_R	Pinky_R	Wrist_L	Thumb_L	Index_L	Middle_L	Ring_L	Pinky_L	Time
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76
0.0	0.0	0.0	0.0	0.0	0.0	2629.2414251078403	2629.2414251078403	2629.2414251078403	2629.2414251078403	2629.2414251078403	2629.2414251078403	0.8
0.0	0.0	0.0	0.0	0.0	0.0	2599.666116958358	2599.666116958358	2599.666116958358	2599.666116958358	2599.666116958358	2599.666116958358	0.84
0.0	0.0	0.0	0.0	0.0	0.0	2481.858452068608	2481.858452068608	2481.858452068608	2481.858452068608	2481.858452068608	2481.858452068608	0.88
0.0	0.0	0.0	0.0	0.0	0.0	2213.0828989163024	2213.0828989163024	2213.0828989163024	2213.0828989163024	2213.0828989163024	2213.0828989163024	0.92
0.0	0.0	0.0	0.0	0.0	0.0	2230.5089062813076	2230.5089062813076	2230.5089062813076	2230.5089062813076	2230.5089062813076	2230.5089062813076	0.96
0.0	0.0	0.0	0.0	0.0	0.0	2139.5518141466937	2139.5518141466937	2139.5518141466937	2139.5518141466937	2139.5518141466937	2139.5518141466937	1.0
0.0	0.0	0.0	0.0	0.0	0.0	2067.891605541904	2067.891605541904	2067.891605541904	2067.891605541904	2067.891605541904	2067.891605541904	1.04
1782.574380407297	1782.574380407297	1782.574380407297	1782.574380407297	1782.574380407297	1782.574380407297	1782.574380407297	1940.1484350132039	1915.2796822984683	1885.3318310445725	1830.0289985497006	1773.2322778122857	1.08
1728.9796087992215	1728.9796087992215	1728.9796087992215	1728.9796087992215	1728.9796087992215	1728.9796087992215	1728.9796087992215	1765.2358439703821	1743.5601150200864	1721.2218971232528	1690.0994927683819	1638.6801164842482	1.12
