Thumb_R	Index_R	Thumb_L	Index_L	Time
0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.0	0.24
0.0	0.0	0.0	0.0	0.28
0.0	0.0	0.0	0.0	0.32
0.0	0.0	0.0	0.0	0.36
0.0	0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.0	0.44
0.0	0.0	0.0	0.0	0.48
0.0	0.0	0.0	0.0	0.52
0.0	0.0	0.0	0.0	0.56
0.0	0.0	0.0	0.0	0.6
0.0	0.0	0.0	0.0	0.64
0.0	0.0	0.0	0.0	0.68
0.0	0.0	0.0	0.0	0.72
0.0	0.0	0.0	0.0	0.76
0.0	0.0	0.0	0.0	0.8
0.0	0.0	0.0	0.0	0.84
0.0	0.0	0.0	0.0	0.88
0.0	0.0	0.0	0.0	0.92
0.0	0.0	0.0	0.0	0.96
0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.0	1.04
0.0	0.0	1324.0925121411885	1324.0925121411885	1.08
0.0	0.0	1303.7357138532936	1303.7357138532936	1.12
0.0	0.0	1270.4123554144612	1270.4123554144612	1.16
0.0	0.0	1269.9318305417125	1269.9318305417125	1.2
0.0	0.0	1278.2650050912237	1278.2650050912237	1.24
0.0	0.0	1280.3990548054865	1280.3990548054865	1.28
0.0	0.0	1281.5279616756698	1281.5279616756698	1.32
0.0	0.0	1284.799643178727	1284.799643178727	1.36
0.0	0.0	1285.6032228229385	1285.6032228229385	1.4
0.0	0.0	1290.0862078218768	1290.0862078218768	1.44
0.0	0.0	1291.1235452094857	1291.1235452094857	1.48
0.0	0.0	1290.1990163290943	1290.1990163290943	1.52
0.0	0.0	1288.5633518267412	1288.5633518267412	1.56
0.0	0.0	1283.3770217894926	1283.3770217894926	1.6
0.0	0.0	1279.8416869427526	1279.8416869427526	1.64
0.0	0.0	1277.1361271766461	1277.1361271766461	1.68
0.0	0.0	1275.970936237142	1275.970936237142	1.72
0.0	0.0	1275.862431798388	1275.862431798388	1.76
0.0	0.0	1274.534646954164	1274.534646954164	1.8
0.0	0.0	1274.1458708051125	1274.1458708051125	1.84
0.0	0.0	1272.880411071858	1272.880411071858	1.88
0.0	0.0	1272.0217442521596	1272.0217442521596	1.92
0.0	0.0	1270.1076419790884	1270.1076419790884	1.96
0.0	0.0	1271.9081371982393	1271.9081371982393	2.0
0.0	0.0	1276.501464270569	1276.501464270569	2.04
0.0	0.0	1279.4761851713165	1279.4761851713165	2.08
0.0	0.0	1272.7649548979307	1272.7649548979307	2.12
1308.1059502827486	1308.1059502827486	1308.1059502827486	1287.1630704282588	2.16
1317.7135182532952	1317.7135182532952	1317.7135182532952	1230.6403907489157	2.2
1316.09897048563	1316.09897048563	1316.09897048563	1175.7991902972724	2.24
1308.2194125472395	1308.2194125472395	1308.2194125472395	1122.7295504224344	2.28
1305.0456096065636	1305.0456096065636	1305.0456096065636	1084.4337403135835	2.32
1297.651745374913	1297.651745374913	1297.651745374913	1079.4988429072575	2.36
1297.5100173559633	1297.5100173559633	1297.5100173559633	1092.5701331048792	2.4
1291.6220530441933	1291.6220530441933	1291.6220530441933	1109.0008280805544	2.44
1268.9934971219268	1268.9934971219268	1268.9934971219268	1156.0047597309738	2.48
1238.838372692958	1238.838372692958	1238.838372692958	1168.4206056668136	2.52
1228.5130725760923	1228.5130725760923	1228.5130725760923	1173.447013374764	2.56
1218.2940359254983	1218.2940359254983	1218.2940359254983	1174.4552482167323	2.6
1223.5996819748136	1223.5996819748136	1223.5996819748136	1161.7694879027738	2.64
1232.5853961602622	1232.5853961602622	1232.5853961602622	1158.252978679244	2.68
1222.4779196649533	1222.4779196649533	1222.4779196649533	1153.3645532705318	2.72
1220.788443488821	1220.788443488821	1220.788443488821	1150.832769874833	2.76
1227.7136201451053	1227.7136201451053	1227.7136201451053	1149.2741707350383	2.8
1236.32769256578	1236.32769256578	1236.32769256578	1152.8125625629868	2.84
1240.488933450615	1240.488933450615	1240.488933450615	1159.3464434109012	2.88
1248.5166290542165	1248.5166290542165	1248.5166290542165	1161.7403007082871	2.92
1248.5076466742319	1248.5076466742319	1248.5076466742319	1160.495795302412	2.96
1252.4736456359915	1252.4736456359915	1252.4736456359915	1163.4178964862833	3.0
1252.2420401948473	1252.2420401948473	1252.2420401948473	1164.0109247399294	3.04
1247.8046855290584	1247.8046855290584	1247.8046855290584	1161.8705163603956	3.08
1243.4390256576507	1243.4390256576507	1243.4390256576507	1158.5159842304615	3.12
1239.704511747868	1239.704511747868	1239.704511747868	1148.326303557714	3.16
1233.4709190607389	1233.4709190607389	1233.4709190607389	1143.3174301843105	3.2
1225.9473471081317	1225.9473471081317	1225.9473471081317	1140.3624436084392	3.24
1225.3398889110808	1225.3398889110808	1225.3398889110808	1139.5476761040145	3.28
1224.1133174726226	1224.1133174726226	1224.1133174726226	1162.2114969187567	3.32
1226.0846327598867	1226.0846327598867	1226.0846327598867	1174.1794192668876	3.36
1205.1930986456591	1205.1930986456591	1205.1930986456591	1150.3187142634076	3.4
1185.7747298360841	1185.7747298360841	1185.7747298360841	1132.3340135742287	3.44
1170.8304924874108	1170.8304924874108	1170.8304924874108	1102.6343776285046	3.48
1163.206709352547	1163.206709352547	1163.206709352547	1099.9488399976806	3.52
1156.931493887579	1156.931493887579	1156.931493887579	1093.489150289918	3.56
1149.1732899191738	1149.1732899191738	1149.1732899191738	1086.5443394328481	3.6
1145.019694731434	1145.019694731434	1145.019694731434	1073.1176369105522	3.64
1137.6983358596967	1137.6983358596967	1137.6983358596967	1082.0436395837853	3.68
1143.4791989856824	1143.4791989856824	1143.4791989856824	1086.4016181150714	3.72
1148.3524297828983	1148.3524297828983	1148.3524297828983	1094.2257284245027	3.76
1157.5901530627077	1157.5901530627077	1157.5901530627077	1100.0483949007976	3.8
1166.2503220314388	1166.2503220314388	1166.2503220314388	1110.7996528273939	3.84
1170.4734070434815	1170.4734070434815	1170.4734070434815	1112.6921851935124	3.88
1169.5620719069498	1169.5620719069498	1169.5620719069498	1111.6045136069447	3.92
1170.969846490939	1170.969846490939	1170.969846490939	1105.2063635614854	3.96
1171.0007500335983	1171.0007500335983	1171.0007500335983	1105.4254835581035	4.0
1170.6901593592174	1170.6901593592174	1170.6901593592174	1103.7601372388992	4.04
1170.035585285769	1170.035585285769	1170.035585285769	1110.0719789453099	4.08
1172.5613903628018	1172.5613903628018	1172.5613903628018	1113.77741426286	4.12
1174.5099725871112	1174.5099725871112	1174.5099725871112	1117.130058757029	4.16
1180.3525409860208	1180.3525409860208	1180.3525409860208	1124.0096273328427	4.2
1193.3760337879896	1193.3760337879896	1193.3760337879896	1130.9494663620694	4.24
1219.6081652300643	1219.6081652300643	1219.6081652300643	1168.378400367389	4.28
1246.2808528533485	1246.2808528533485	0.0	0.0	4.32
1277.9594702925144	1219.0114060317412	1581.3052590161346	1581.3052590161346	4.36
1301.800173390287	1234.4645432917614	1678.2630601060132	1678.2630601060132	4.4
1327.1086355173325	1268.8158179520722	1743.0112510765487	1743.0112510765487	4.44
1342.736863086149	1283.45156454322	1783.7410719353743	1783.7410719353743	4.48
1347.9827297692598	1289.3136964046507	1798.7647283926076	1798.7647283926076	4.52
1347.4061745576591	1284.994966461234	1806.9312524264228	1806.9312524264228	4.56
1342.3496597293495	1279.9331938917962	1804.3382378158583	1804.3382378158583	4.6
1338.489340864816	1277.33963365637	1796.9315855214852	1796.9315855214852	4.64
1347.0983229949288	1296.627400710095	1803.6623309862603	1803.6623309862603	4.68
1357.1694236698597	1310.4945526055565	1818.3977263708048	1818.3977263708048	4.72
1365.5286804907953	1305.1060057296102	1838.8623175650043	1838.8623175650043	4.76
1376.4722048207545	1317.0641963727794	1862.7352107202369	1862.7352107202369	4.8
1384.6484340684972	1384.6484340684972	0.0	0.0	4.84
1396.1639754233781	1396.1639754233781	0.0	0.0	4.88
1403.1011982550592	1403.1011982550592	0.0	0.0	4.92
1411.2292768673706	1411.2292768673706	0.0	0.0	4.96
1411.255509919612	1411.255509919612	0.0	0.0	5.0
1411.5463483014416	1411.5463483014416	0.0	0.0	5.04
