Thumb_RX	Index_RX	Thumb_RY	Index_RY	Thumb_LX	Index_LX	Thumb_LY	Index_LY	Time
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04
0.0	0.0	0.0	0.0	1080.4846572875977	1095.4713821411133	765.3586649894714	767.2972583770752	1.08
0.0	0.0	0.0	0.0	1072.1126174926758	1082.8800201416016	741.822988986969	744.6241807937622	1.12
0.0	0.0	0.0	0.0	1012.6519775390625	1026.2155151367188	767.1267986297607	761.0690402984619	1.16
0.0	0.0	0.0	0.0	1000.8738327026367	1028.4280014038086	781.6510891914368	738.8521099090576	1.2
0.0	0.0	0.0	0.0	1030.5006408691406	1035.582046508789	756.3265514373779	733.6627435684204	1.24
0.0	0.0	0.0	0.0	1041.375961303711	1041.3299560546875	744.9549293518066	729.9820232391357	1.28
0.0	0.0	0.0	0.0	1041.522331237793	1046.3027572631836	746.6894602775574	725.9275531768799	1.32
0.0	0.0	0.0	0.0	1056.7730712890625	1053.1441497802734	730.7125282287598	725.2686309814453	1.36
0.0	0.0	0.0	0.0	1052.6454162597656	1059.7029876708984	738.046932220459	718.5614132881165	1.4
0.0	0.0	0.0	0.0	1066.823501586914	1067.413444519043	725.4033637046814	722.1991324424744	1.44
0.0	0.0	0.0	0.0	1069.9882507324219	1071.9380950927734	722.5822806358337	715.0848841667175	1.48
0.0	0.0	0.0	0.0	1065.3568267822266	1072.463035583496	727.7556824684143	707.8489708900452	1.52
0.0	0.0	0.0	0.0	1068.277931213379	1074.9446868896484	720.5399179458618	703.3964824676514	1.56
0.0	0.0	0.0	0.0	1058.8890838623047	1074.29443359375	725.127911567688	691.0219287872314	1.6
0.0	0.0	0.0	0.0	1062.0918273925781	1072.5382232666016	714.1118216514587	687.0042157173157	1.64
0.0	0.0	0.0	0.0	1054.4431686401367	1070.830078125	720.5735850334167	683.4952425956726	1.68
0.0	0.0	0.0	0.0	1061.3646697998047	1070.6364440917969	708.2420969009399	684.6550512313843	1.72
0.0	0.0	0.0	0.0	1061.1708068847656	1071.006202697754	708.3371114730835	682.7004289627075	1.76
0.0	0.0	0.0	0.0	1057.6405334472656	1071.7872619628906	711.2208294868469	679.721245765686	1.8
0.0	0.0	0.0	0.0	1057.3884201049805	1071.6205215454102	710.8990287780762	677.6719951629639	1.84
0.0	0.0	0.0	0.0	1054.793930053711	1070.5784225463867	712.4846005439758	679.7280049324036	1.88
0.0	0.0	0.0	0.0	1058.3723831176758	1068.1430053710938	705.6112360954285	683.4735488891602	1.92
0.0	0.0	0.0	0.0	1049.428596496582	1069.603271484375	715.4530334472656	683.4541082382202	1.96
0.0	0.0	0.0	0.0	1046.87255859375	1071.4613342285156	722.3628973960876	686.6472673416138	2.0
0.0	0.0	0.0	0.0	1051.5173721313477	1070.8021545410156	723.7176275253296	693.7146520614624	2.04
0.0	0.0	0.0	0.0	1046.5166473388672	1071.217918395996	736.1129093170166	702.4026918411255	2.08
0.0	0.0	0.0	0.0	1036.626091003418	1078.8395690917969	738.4693479537964	718.5091423988342	2.12
994.2676162719727	998.0952072143555	561.4156794548035	494.5007336139679	1092.0653915405273	1055.1960754394531	720.093297958374	737.1227931976318	2.16
985.601921081543	997.5648880004883	553.5274744033813	489.43509221076965	1105.0880813598633	1003.2236480712891	717.738983631134	712.7538728713989	2.2
980.92529296875	993.43505859375	553.7284469604492	488.43425273895264	1108.0106735229492	969.3375778198242	710.2315449714661	665.4986071586609	2.24
978.9357376098633	1000.231819152832	561.8299841880798	501.93816661834717	1104.64599609375	934.3994522094727	700.8532333374023	622.4301624298096	2.28
971.5588760375977	995.7281112670898	574.0107750892639	534.4041180610657	1100.7119750976562	905.4500770568848	701.125659942627	596.7886519432068	2.32
971.8772506713867	973.6398696899414	593.2089972496033	565.7262897491455	1099.094123840332	910.4101753234863	689.849374294281	580.0612592697144	2.36
968.7249755859375	979.1553497314453	610.24010181427	594.4323420524597	1096.8827819824219	929.9720191955566	693.0948042869568	573.4645056724548	2.4
964.4226837158203	981.6665267944336	628.5737943649292	617.5392937660217	1086.1223602294922	948.006420135498	699.0177011489868	575.4708194732666	2.44
971.6220474243164	1005.7014083862305	643.532280921936	627.8021550178528	1062.3100662231445	994.3185424804688	694.148268699646	589.6419596672058	2.48
975.5323791503906	1012.272834777832	657.9929709434509	633.2875728607178	1033.8325881958008	998.3026885986328	682.5765109062195	607.1230959892273	2.52
979.4575881958008	994.2529678344727	663.2134938240051	654.7819805145264	1022.6200103759766	994.8319244384766	680.8029699325562	622.3241400718689	2.56
982.0819473266602	1010.3829574584961	660.4889059066772	637.5982475280762	1014.5933532714844	998.4863662719727	674.4187760353088	618.3608222007751	2.6
993.5932159423828	1018.5639953613281	629.9903225898743	627.2750687599182	1027.4035263061523	985.0257110595703	664.5586323738098	615.981080532074	2.64
1021.292839050293	1024.4582748413086	581.9187426567078	586.5192890167236	1039.9559783935547	985.8604431152344	661.6330718994141	607.971339225769	2.68
1061.4430618286133	1062.3639678955078	531.8696880340576	529.6283161640167	1032.345314025879	982.6384735107422	654.7636342048645	603.8803052902222	2.72
1079.296531677246	1088.4219360351562	490.9774696826935	476.0504937171936	1030.2989959716797	980.0225830078125	654.8346376419067	603.3007550239563	2.76
1091.733627319336	1097.0573043823242	476.0904049873352	468.80547165870667	1031.9318389892578	978.3293151855469	665.1296210289001	603.0778312683105	2.8
1076.7345428466797	1091.5295791625977	477.16376066207886	478.8372015953064	1039.921646118164	983.3085250854492	668.6322855949402	601.7317914962769	2.84
1068.2217407226562	1091.110496520996	487.3961091041565	481.05713725090027	1045.6864929199219	990.4292678833008	667.347400188446	602.606041431427	2.88
1065.245132446289	1086.2267303466797	496.8922233581543	490.77749490737915	1052.4101257324219	992.5649642944336	671.7340993881226	603.7013483047485	2.92
1071.763916015625	1089.0401458740234	493.38653326034546	491.61460161209106	1053.0963134765625	991.2171936035156	670.6411099433899	603.5221338272095	2.96
1082.0304107666016	1111.9974517822266	483.2887887954712	509.4878017902374	1059.4968795776367	998.8005065917969	667.9495453834534	596.6060256958008	3.0
1094.2268371582031	1117.917137145996	471.41048669815063	502.60024309158325	1061.5934371948242	1004.1633224487305	664.1758060455322	588.7082934379578	3.04
1099.999008178711	1135.0474548339844	457.0070242881775	504.5347809791565	1066.655158996582	1008.1363677978516	647.5054478645325	577.584764957428	3.08
1098.837890625	1123.7572860717773	439.9698042869568	476.0718011856079	1068.662109375	1013.4576416015625	635.6901025772095	561.3046360015869	3.12
