Thumb_RX	Index_RX	Thumb_RY	Index_RY	Thumb_LX	Index_LX	Thumb_LY	Index_LY	Action	start_time	end_time
925.8655881881714	902.0287675857544	0.0	0.0	766.4888381958008	777.0048904418945	0.0	487.886383831501	Cap Off	0.58	0.82
925.8655881881714	902.0287675857544	0.0	0.0	766.4888381958008	777.0048904418945	0.0	487.886383831501	Cap Off	0.86	1.26
925.8655881881714	902.0287675857544	0.0	0.0	766.4888381958008	777.0048904418945	0.0	487.886383831501	Cap Off	1.289	1.449
925.8655881881714	902.0287675857544	0.0	0.0	766.4888381958008	777.0048904418945	0.0	487.886383831501	Cap Off	1.509	1.779
925.8655881881714	902.0287675857544	0.0	0.0	615.9615325927734	588.427963256836	524.3672060966492	530.3938722610474	Cap Off	1.799	1.879
912.2052326202393	908.8615264892578	599.6605124473572	502.73949801921844	717.5334720611572	731.760669708252	676.1899287700653	605.6364140510559	Cap Off	1.929	2.339
952.756986618042	925.025520324707	620.0867486000061	561.3573735952377	823.2875537872314	837.9293918609619	627.5368094444275	540.5017930269241	Cap Off	2.409	2.659
951.3889932632446	894.9471473693848	587.1229147911072	508.6500996351242	799.451322555542	822.7682590484619	576.309986114502	503.106472492218	Cap Off	2.758	2.928
967.460823059082	911.945915222168	538.9111912250519	545.6098937988281	679.8905436197916	708.2633399963379	522.6047587394714	462.51423597335815	Cap Off	2.938	3.288
1016.717960357666	962.5414066314697	600.5371441841125	553.093729019165	533.7510137557983	581.4126148223877	583.1631664037704	523.2197989225388	Cap Off	3.308	3.738
999.3231868743896	953.3348035812378	606.4112108945847	530.8851510286331	278.535053730011	271.0840845108032	496.41317546367645	471.14329040050507	Cap Off	3.758	3.938
1024.2266464233398	976.8941116333008	615.1638650894165	539.951913356781	766.4888381958008	777.0048904418945	338.529292345047	325.346599817276	Apply Tip	3.958	4.028
1020.8713912963867	978.5732650756836	646.4140355587006	548.2214856147766	387.1224784851074	369.8452568054199	649.1796183586121	620.3314626216888	Apply Tip	4.048	4.268
1014.0446908133371	971.6278920854841	656.3951223237174	561.3652569907052	392.11367879595076	362.2431686946324	678.2541111537388	603.5061141422817	Apply Tip	4.307	4.587
928.2059383392334	910.3703784942626	644.2099034786224	552.2851717472076	885.4367637634277	931.6531276702882	712.2269153594971	747.6857614517212	Apply Tip	4.897	4.977
912.8716468811035	881.4548492431641	667.3159003257751	574.1850113868713	859.0090942382812	912.0792007446288	682.9424285888672	778.6603403091431	Apply Tip	5.017	5.117
923.5252380371094	857.9572772979736	703.0802392959595	634.8633599281311	717.59934425354	690.9463882446289	753.7927222251892	772.7498030662537	Apply Tip	5.377	5.587
1076.7402076721191	1006.779613494873	792.888879776001	714.2447680234909	1044.4866657257078	1067.2276782989502	503.86584877967834	492.30304688215256	Apply Tip	5.607	5.757
1184.7018241882324	1095.3598594665527	856.0644292831421	783.663786649704	1342.940273284912	1338.7843704223633	434.66486155986786	399.9457097053528	Apply Tip	5.777	5.987
1204.0576553344727	1108.6234283447266	856.6417908668518	781.2171077728271	1341.9819641113281	1357.1287155151367	404.7095489501953	402.0785057544708	Apply Tip	6.026	6.156
1189.158931058996	1109.006067163804	801.528113449321	725.9432109664468	992.0311209734748	1014.4642134273754	462.13062412598555	423.11486594817217	Apply Tip	6.176	6.826
1134.5622316996257	1073.8378969828289	619.2974996566772	546.458466053009	760.0376574198405	759.9593734741211	540.3028678894043	490.03320157527924	Apply Tip	6.846	7.576
1094.4584140777588	1029.5729999542236	580.5775807499886	515.2509602308273	753.3660936355591	740.4562940597534	504.4383196234703	467.8486375808716	Apply Tip	7.666	8.476
1084.7864770889282	1024.1520524024963	576.3209013640881	497.8602486848831	756.4231431484222	758.2458758354187	496.515703573823	446.229482665658	Apply Tip	8.495	9.135
1070.1513719558716	1012.5661468505859	586.0839101672173	516.3666258752346	754.1349506378174	772.5560832023621	498.2858629524708	506.3281086087227	Apply Tip	9.175	9.495
1073.895492553711	1016.4963912963868	589.1484761238098	519.9790585041046	764.8934555053711	781.3479995727539	512.6913571357727	511.58079385757446	Apply Tip	9.504	9.574
1075.7461166381836	1021.6062545776367	584.892840385437	520.679544210434	770.408182144165	794.3243598937988	525.7144957780838	495.36306381225586	Apply Tip	9.594	9.844
1086.989034016927	1025.6452178955078	574.3043875694275	501.88072443008423	784.4110997517904	790.0372505187988	527.3377418518066	465.45653343200684	Apply Tip	9.864	10.234
1088.4280586242676	1024.5439910888672	566.445175409317	494.74481999874115	769.7145080566406	777.958402633667	503.51099252700806	461.71687602996826	Apply Tip	10.314	10.394
1090.6047630310059	1030.1264953613281	565.2569782733917	498.8612276315689	792.89963722229	805.0059700012207	487.4814087152481	485.7395660877228	Apply Tip	10.464	10.714
1091.78804397583	1029.0192031860352	569.0415644645691	507.7951776981354	805.697078704834	703.8746452331543	440.0127249956131	566.3825404644012	Apply Tip	10.734	10.804
1085.2362823486328	1019.295768737793	580.3856348991394	520.4938495159149	798.2876205444336	718.2314491271973	426.85154914855957	596.8877649307251	Apply Tip	10.824	10.944
1090.5317687988281	1012.2703552246094	574.6669721603394	511.32718563079834	781.5619277954102	790.0665092468262	476.5555214881897	517.8050744533539	Setting Units	10.964	11.074
1091.765365600586	1021.568489074707	573.7613081932068	506.5537440776825	768.0842208862305	784.0157127380371	518.5197758674622	495.98737478256226	Setting Units	11.223	11.373
1105.548568725586	1041.6641235351562	564.2192273139954	497.3767783641815	779.342113494873	817.1455764770508	510.13854217529297	465.76711678504944	Setting Units	11.393	11.613
