start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	Thumb_R	Thumb_L	Index_R	Index_L
0.8	1.05	427.8	0.0	251.0	641.0	77.2	179.8	1600.0	Cap Off	1068.5548148254093	1501.894803240227	596.2523697126908	1104.6992952870446
1.089	1.309	390.2	0.0	211.9	614.9	34.0	227.1	585.1	Cap Off	986.9015921717785	949.8732692861761	506.9176636823824	961.0332847328949
1.349	1.479	401.8	0.0	220.7	634.3	35.0	244.6	1600.0	Cap Off	964.211097816243	516.0710258262128	482.44117715173735	554.1057231806652
1.499	1.709	397.1	0.0	226.3	635.1	38.0	231.1	609.8	Cap Off	954.0542625732522	625.5622891991899	471.5741763516241	685.8574509807963
1.789	1.969	393.6	0.0	216.0	614.9	33.0	229.4	598.4	Cap Off	545.6886774895046	232.8567675474818	711.5826206750525	260.2029407770162
1.989	2.199	396.8	0.0	224.6	634.5	43.0	255.2	1600.0	Cap Off	441.23328633045867	449.04753243254333	623.5416328161461	550.1044910765054
2.239	2.349	381.9	23.0	245.0	622.1	49.0	240.8	589.3	Cap Off	334.5186478897615	386.06069835641796	456.95368013258326	497.1424579671054
2.369	2.799	372.0	0.0	258.3	603.3	43.0	260.4	616.8	Cap Off	353.1692004562566	385.64106289290305	417.5335673407295	433.4768107691156
2.818	2.928	363.9	0.0	247.9	588.2	23.0	293.7	648.4	Cap Off	302.30211564700693	371.90415484072594	390.7918200184707	403.3955119525644
3.068	3.318	380.6	8.0	253.0	615.6	20.2	275.4	626.4	Cap Off	329.34023440340997	411.09867577406806	417.4071571534542	427.7432181226522
3.358	3.468	387.4	180.0	323.4	620.7	4.5	1600.0	630.1	Cap Off	322.29307128054825	402.4845287844283	414.71512523216865	425.3357737508366
3.488	3.598	431.1	146.0	348.5	663.3	7.1	1600.0	582.7	Cap Off	320.30764774668023	404.30045914669154	409.69973110454623	426.82469960829746
3.658	3.738	396.4	157.5	333.5	634.3	0.0	273.1	611.9	Cap Off	298.78670995728737	369.06971630573014	386.2601815437878	400.2833353951536
3.758	4.128	382.2	244.9	313.7	624.5	0.0	254.0	1600.0	Cap Off	408.67170400067505	522.7924049804006	475.84373385988664	514.6033733149413
4.168	4.568	390.8	520.5	314.1	638.1	0.0	242.1	594.0	Cap Off	342.77696434654746	413.3599879853828	420.4884570870648	424.37785228610215
4.587	4.817	406.4	510.5	327.9	658.0	7.2	235.7	584.3	Cap Off	288.6412723148022	445.5816819344565	367.1942076486886	451.49319668301206
4.907	5.097	659.8	290.8	570.3	907.2	249.1	0.0	1600.0	Apply Tip	486.9818255224889	690.0796456913475	573.3696141113655	759.5753408542769
5.137	5.387	697.2	256.5	609.8	959.8	286.0	14.0	1600.0	Apply Tip	426.7862628263465	467.87756661950925	504.1905147655968	447.825410734541
5.407	5.517	691.0	272.6	602.7	969.0	276.4	6.7	296.7	Apply Tip	268.6882112277832	253.6084259038093	331.9949169673159	249.43166825082608
5.537	5.837	673.0	427.0	567.4	945.3	236.4	37.4	1600.0	Apply Tip	175.84608465953693	214.59708949446798	246.00188341611454	199.50466270242316
5.857	6.067	656.7	331.4	560.4	928.7	229.2	0.0	322.3	Apply Tip	307.7902680666714	400.2043229968757	331.99657161193824	408.46149939557097
6.116	6.386	465.8	491.4	373.6	724.9	39.0	91.2	516.8	Apply Tip	442.9972486138726	198.11540632465332	466.08135751993314	242.70167922225437
6.406	6.516	488.6	449.4	381.3	739.5	40.2	32.0	520.2	Apply Tip	437.0332216346684	220.64127371850068	467.0018221657358	289.82647721187783
6.536	6.766	494.8	454.8	372.9	746.2	33.0	15.0	532.4	Apply Tip	514.8970372260926	241.93808752221128	514.7833316182321	286.06229739992654
6.786	7.276	507.7	449.2	375.0	757.5	23.7	0.0	523.7	Apply Tip	443.73915925590825	292.50728467125225	458.86001502724696	337.28025364305404
7.356	8.695	511.0	434.9	364.8	767.0	23.0	0.0	522.7	Apply Tip	490.2262225591648	419.80227456842766	515.9396736758308	466.7214594192065
8.715	8.835	508.1	421.0	356.5	767.2	17.7	0.0	510.8	Apply Tip	536.7410262872539	468.5476412739742	558.572512852881	515.5473854874466
8.855	9.095	514.7	411.0	361.9	770.4	28.0	9.8	506.2	Apply Tip	500.73966669227394	440.24854717314	520.3072711071645	486.73510906447996
9.135	9.285	507.8	408.9	350.0	763.1	17.9	4.2	506.0	Apply Tip	493.184859754164	421.0954015462071	487.7222752383574	472.604538260398
9.305	10.764	512.5	407.8	362.1	760.6	39.4	1600.0	512.8	Apply Tip	438.1863101397986	394.0971254123509	438.4933199943055	438.38618399938076
10.784	11.034	505.4	413.2	354.6	754.1	18.8	3.2	511.2	Apply Tip	392.2239769145035	392.3063332090668	453.96345133694075	428.58539207793575
11.074	11.964	494.7	432.1	356.8	740.1	29.4	8.0	513.0	Apply Tip	410.47166084529454	388.4666663390906	427.8536154974992	429.4562720799371
12.053	12.283	453.2	513.1	359.9	714.9	12.4	274.9	0.0	Apply Tip	476.8290704703234	348.2566948339984	490.8051887513942	382.09780696082044
12.303	12.413	491.7	459.8	385.6	754.5	47.4	305.1	17.7	Apply Tip	633.2250696379019	373.90592272994877	647.7066411016361	411.89654934298295
12.433	12.543	500.0	447.9	394.4	765.1	51.5	370.9	25.6	Apply Tip	664.5627301895114	379.14820585780194	662.7956142690671	417.76779384484917
12.583	12.963	491.7	449.7	391.8	758.7	51.9	1600.0	26.1	Apply Tip	697.0697956659657	383.95927285627926	710.6423280881032	426.5829844290923
13.022	13.092	426.4	1600.0	322.6	700.3	37.4	1600.0	40.0	Apply Tip	758.7747397293343	348.7470479848515	764.0791555773037	399.06873074150815
13.132	13.242	402.0	650.0	259.8	685.6	34.7	454.6	73.4	Apply Tip	764.2275951751492	292.19747790480926	770.33423249162	341.8873202680665
13.302	13.402	392.1	514.5	66.6	659.5	0.0	426.8	267.9	Setting Units	706.152447909999	281.7752811017396	783.8981151982314	333.9635487978523
13.422	13.512	485.8	413.0	0.0	747.3	31.1	336.5	357.2	Setting Units	645.5110046628336	362.8535639380402	744.1801581481344	424.13464154356365
13.532	13.662	517.7	394.9	0.0	783.7	39.2	310.7	369.1	Setting Units	431.83332080142844	314.19490596644215	488.56909812070046	428.35909769055183
13.682	13.812	524.2	391.0	0.0	788.5	49.5	317.5	398.5	Setting Units	198.2260923201253	294.96362493619483	239.50280404506688	378.2675481690866
13.832	13.932	519.7	393.1	0.0	782.3	55.5	324.0	403.4	Setting Units	91.85771557330092	323.1205147077204	192.42537994002674	362.0409419616411
13.952	14.082	522.9	397.3	0.0	789.0	48.0	320.3	394.0	Setting Units	93.02499361329448	303.8245397993785	163.4367281769175	320.91842390282284
14.102	14.212	518.8	396.5	0.0	779.7	32.4	323.7	381.0	Setting Units	147.6987382217779	342.04761230366637	211.43484846308448	352.0120271829443
14.232	14.482	513.7	402.9	0.0	773.8	36.0	331.3	382.2	Setting Units	230.2420526296643	451.63467109964995	296.5726638935706	417.5258075146287
14.532	14.802	520.3	398.8	0.0	782.8	33.0	327.5	391.3	Setting Units	267.9534791061111	539.3759638529084	304.836305672733	497.1859394050036
14.841	15.88	521.2	401.2	0.0	781.6	33.5	331.2	395.9	Setting Units	302.8880204360387	555.5250386367198	328.99421348912523	545.0678946339991
16.101	16.281	328.6	741.3	393.6	678.7	55.1	602.5	23.5	Priming	206.76807134910112	319.6222030524321	258.74123409580403	341.81933604772354
16.5	16.62	411.2	669.4	382.0	744.4	57.1	514.9	18.0	Priming	305.69421783698266	511.0864446679274	340.42590564011374	516.1989983402614
16.64	16.87	444.1	639.5	388.5	771.6	59.0	480.1	23.2	Priming	336.47196651318336	561.1076274700944	366.8119841406773	566.9246721831985
17.07	17.71	451.1	623.4	385.5	776.6	57.0	467.3	18.7	Priming	75.28925056103319	284.43648747072325	364.6306696995343	267.3198300005333
17.8	19.409	446.1	614.6	376.0	767.6	48.0	460.5	11.0	Priming	128.21138317717882	342.56187713692674	424.70602376654375	337.57583654342363
