Thumb_RX	Index_RX	Thumb_RY	Index_RY	Thumb_LX	Index_LX	Thumb_LY	Index_LY	Time
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.0	1150.5427551269531	1153.0240631103516	795.3203773498535	740.9679222106934	0.24
0.0	0.0	0.0	0.0	1147.1071243286133	1149.7097396850586	798.1448721885681	736.950466632843	0.28
0.0	0.0	0.0	0.0	1147.382698059082	1150.4673385620117	797.9264545440674	737.0996189117432	0.32
0.0	0.0	0.0	0.0	1147.562026977539	1148.9701080322266	795.3135538101196	737.1292948722839	0.36
0.0	0.0	0.0	0.0	1148.151512145996	1147.7714538574219	794.0993499755859	733.8401556015015	0.4
0.0	0.0	0.0	0.0	1146.4142990112305	1146.52587890625	793.3955597877502	737.9514670372009	0.44
0.0	0.0	0.0	0.0	1146.3581085205078	1145.891990661621	793.4017395973206	738.0493783950806	0.48
0.0	0.0	0.0	0.0	1147.694091796875	1146.2354278564453	793.2959747314453	734.5955729484558	0.52
0.0	0.0	0.0	0.0	1145.9352493286133	1145.1064682006836	793.4160304069519	735.9924030303955	0.56
0.0	0.0	0.0	0.0	1147.9998779296875	1145.9518432617188	793.2014107704163	735.9196615219116	0.6
0.0	0.0	0.0	0.0	1149.4615173339844	1147.1098709106445	792.4665927886963	734.8719906806946	0.64
0.0	0.0	0.0	0.0	1152.9755401611328	1148.408088684082	792.5313520431519	734.2810463905334	0.68
0.0	0.0	0.0	0.0	1155.6250762939453	1148.3362197875977	792.8939008712769	735.4879117012024	0.72
0.0	0.0	0.0	0.0	1160.5540466308594	1153.5190200805664	784.1871929168701	730.7797336578369	0.76
0.0	0.0	0.0	0.0	1160.1477813720703	1160.3106307983398	764.8799228668213	706.2444090843201	0.8
0.0	0.0	0.0	0.0	1160.401954650879	1157.8865432739258	722.6736259460449	678.120288848877	0.84
0.0	0.0	0.0	0.0	1145.6745529174805	1147.7981185913086	664.0206670761108	606.3665199279785	0.88
0.0	0.0	0.0	0.0	1136.8292999267578	1121.2668228149414	610.0676465034485	547.6342535018921	0.92
0.0	0.0	0.0	0.0	1112.2233581542969	1110.369873046875	566.7634677886963	497.53273487091064	0.96
0.0	0.0	0.0	0.0	1085.694808959961	1072.108383178711	542.1518611907959	467.6725387573242	1.0
0.0	0.0	0.0	0.0	1051.19384765625	1026.2973403930664	550.262668132782	447.62816548347473	1.04
0.0	0.0	0.0	0.0	1020.2889633178711	996.0859680175781	567.2545695304871	451.63142681121826	1.08
0.0	0.0	0.0	0.0	1010.0759124755859	968.6653518676758	592.082211971283	465.69995641708374	1.12
0.0	0.0	0.0	0.0	995.8644104003906	955.3472900390625	604.5615005493164	503.32852721214294	1.16
0.0	0.0	0.0	0.0	992.2922515869141	958.813362121582	606.0176825523376	511.98479890823364	1.2
0.0	0.0	0.0	0.0	994.6345138549805	958.9529800415039	601.820240020752	533.6204087734222	1.24
0.0	0.0	0.0	0.0	995.3001022338867	962.6496505737305	602.8283214569092	543.9352512359619	1.28
0.0	0.0	0.0	0.0	1002.4169540405273	964.8028564453125	606.0814118385315	547.557520866394	1.32
0.0	0.0	0.0	0.0	1007.5332641601562	981.5874481201172	606.933388710022	540.3888130187988	1.36
0.0	0.0	0.0	0.0	997.8912734985352	982.2223663330078	607.0495820045471	548.8597226142883	1.4
0.0	0.0	0.0	0.0	1003.5622787475586	982.7091979980469	611.318736076355	543.7953686714172	1.44
0.0	0.0	0.0	0.0	1002.9631805419922	987.4063110351562	607.6659536361694	542.1239876747131	1.48
0.0	0.0	0.0	0.0	995.0474166870117	984.6528625488281	599.8515844345093	549.8837041854858	1.52
998.0328369140625	999.5621109008789	609.1475629806519	559.6131062507629	825.7459259033203	846.4683151245117	682.079873085022	631.0475206375122	1.56
989.6831130981445	1001.4824295043945	623.0872178077698	572.9152750968933	847.5982475280762	868.0599403381348	668.1164646148682	607.7529859542847	1.6
976.2502670288086	992.7783966064453	645.0162076950073	600.4125308990479	855.5522918701172	901.0872459411621	654.4460821151733	615.7708382606506	1.64
962.4263763427734	994.2800903320312	678.2366108894348	630.4102921485901	862.5824546813965	859.8315238952637	645.6956648826599	639.3854355812073	1.68
0.0	0.0	0.0	0.0	873.6927795410156	893.6952781677246	655.8940243721008	634.2952036857605	1.72
926.996898651123	974.6239471435547	754.0190362930298	680.662636756897	882.1534538269043	928.5340690612793	668.0871748924255	666.2623929977417	1.76
925.8943176269531	961.0259628295898	772.3708820343018	692.0074796676636	871.44287109375	902.3141670227051	678.195219039917	673.2955312728882	1.8
0.0	0.0	0.0	0.0	859.9118614196777	929.3571281433105	674.9859023094177	706.9035887718201	1.84
0.0	0.0	0.0	0.0	847.8738212585449	900.6207275390625	650.9798526763916	621.9416356086731	1.88
0.0	0.0	0.0	0.0	857.7194023132324	896.8867492675781	634.7465229034424	621.3967180252075	1.92
0.0	0.0	0.0	0.0	1047.2296142578125	1030.2889251708984	636.6121816635132	660.5358982086182	1.96
0.0	0.0	0.0	0.0	1089.433250427246	1045.2638626098633	582.572386264801	574.8570871353149	2.0
0.0	0.0	0.0	0.0	1117.416000366211	1040.2381896972656	529.3141758441925	510.7464873790741	2.04
0.0	0.0	0.0	0.0	1111.897201538086	1016.773796081543	486.17624044418335	467.10006952285767	2.08
0.0	0.0	0.0	0.0	1079.1475296020508	954.8942184448242	453.7149238586426	460.2549970149994	2.12
0.0	0.0	0.0	0.0	1043.2207489013672	948.2910346984863	442.4607503414154	568.7250423431396	2.16
0.0	0.0	0.0	0.0	1019.8774337768555	915.4264640808105	427.3049283027649	423.52243423461914	2.2
0.0	0.0	0.0	0.0	1004.6470642089844	911.1892318725586	416.5560507774353	450.2159285545349	2.24
0.0	0.0	0.0	0.0	1004.088249206543	928.0105590820312	401.0070061683655	425.59115767478943	2.28
0.0	0.0	0.0	0.0	1001.9966125488281	932.2271347045898	376.2582850456238	443.3054852485657	2.32
0.0	0.0	0.0	0.0	996.1501693725586	921.8991851806641	364.40927267074585	425.3698432445526	2.36
0.0	0.0	0.0	0.0	980.5941009521484	933.0380630493164	343.581383228302	425.78875064849854	2.4
0.0	0.0	0.0	0.0	977.98095703125	919.5600700378418	326.44084453582764	382.89771795272827	2.44
0.0	0.0	0.0	0.0	999.788703918457	944.9785995483398	274.6428072452545	295.7217836380005	2.48
0.0	0.0	0.0	0.0	1070.7590103149414	1018.4064102172852	192.13612139225006	154.35921907424927	2.52
0.0	0.0	0.0	0.0	1145.3344345092773	1120.9716796875	115.22792458534241	63.915839195251465	2.56
0.0	0.0	0.0	0.0	1192.2857666015625	1155.040283203125	97.41983771324158	83.45166563987732	2.6
0.0	0.0	0.0	0.0	1225.6912994384766	1170.314598083496	114.28236544132233	103.93837809562683	2.64
0.0	0.0	0.0	0.0	1231.9877243041992	1173.1610870361328	154.3688267469406	126.16195499897003	2.68
0.0	0.0	0.0	0.0	1213.9715194702148	1166.5968704223633	189.6677541732788	167.2201269865036	2.72
0.0	0.0	0.0	0.0	1199.8180389404297	1172.1560668945312	215.06550014019012	226.05318546295166	2.76
0.0	0.0	0.0	0.0	1165.7909774780273	1161.8510055541992	255.7871299982071	280.8572494983673	2.8
0.0	0.0	0.0	0.0	1155.0019454956055	1163.119125366211	287.1571469306946	294.12198543548584	2.84
0.0	0.0	0.0	0.0	1155.918960571289	1159.8835372924805	337.4600565433502	270.0149989128113	2.88
0.0	0.0	0.0	0.0	1140.4460906982422	1153.080940246582	342.08879828453064	288.82492303848267	2.92
0.0	0.0	0.0	0.0	1135.4946899414062	1142.5736618041992	399.96084809303284	296.14197850227356	2.96
0.0	0.0	0.0	0.0	1131.2541961669922	1145.496711730957	429.36554074287415	316.426237821579	3.0
0.0	0.0	0.0	0.0	1126.1560821533203	1135.6867218017578	442.3327445983887	371.6935622692108	3.04
0.0	0.0	0.0	0.0	1092.9721069335938	1127.9856491088867	427.2265863418579	423.4523320198059	3.08
0.0	0.0	0.0	0.0	1104.6041107177734	1119.2858505249023	448.7370228767395	441.69461488723755	3.12
