Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Event
2389	2569	180	1377	549	Cap Off
2579	3389	810	1093	637	Apply Tip
3408	5137	1729	960	788	Apply Tip
5577	7746	2169	950	833	Apply Tip
7766	8006	240	941	866	Apply Tip
8175	11613	3438	935	868	Apply Tip
11633	12193	560	1023	809	Apply Tip
12233	12453	220	1258	916	Apply Tip
12463	12863	400	1076	886	Setting Units
12903	13972	1069	991	817	Setting Units
14102	14462	360	977	827	Setting Units
14542	14712	170	963	859	Setting Units
14772	15022	250	925	790	Priming
15161	15281	120	549	583	Priming
15311	15531	220	598	572	Priming
15541	15661	120	742	587	Priming
15761	16680	919	757	488	Priming
16700	17370	670	675	541	Priming
17510	19159	1649	640	518	Priming
19319	19549	230	650	466	Priming
19559	20898	1339	638	510	Priming
21028	22557	1529	623	525	Priming
22577	23756	1179	577	572	Priming
23776	23946	170	560	496	Priming
24116	24456	340	1287	805	Priming
24476	25196	720	1223	822	Setting Units
25216	25696	480	1038	804	Setting Units
25955	28903	2948	1002	821	Setting Units
29043	29283	240	1050	819	Setting Units
29313	29443	130	884	879	Setting Units
29483	29623	140	818	713	Injection
29843	30463	620	714	814	Injection
30503	33561	3058	1038	685	Injection
33611	33721	110	1224	570	Injection
33801	34721	920	1273	531	Injection
34740	34840	100	1291	519	Injection
34950	35460	510	1398	371	Injection
35600	35770	170	1378	367	Injection
36339	37838	1499	1077	472	Injection
37888	43455	5567	1099	460	Injection
43515	43635	120	922	642	Injection
43695	43845	150	936	638	Injection
43885	46344	2459	1066	459	Injection
46573	46803	230	900	798	Injection
46973	47423	450	1034	776	Injection
47463	47583	120	1138	837	Remove Tip
47623	47943	320	1044	751	Remove Tip
48212	48522	310	916	743	Remove Tip
48572	48732	160	944	725	Remove Tip
48792	50231	1439	962	736	Remove Tip
50321	51270	949	980	840	Remove Tip
51391	51681	290	962	845	Remove Tip
52970	55249	2279	941	847	Remove Tip
55278	55418	140	925	883	Remove Tip
55568	56957	1389	928	840	Remove Tip
57007	57327	320	1019	533	Remove Tip
57347	57797	450	1009	730	Remove Tip
57827	57967	140	1088	874	Remove Tip
57987	58147	160	1030	881	Remove Tip
58207	58457	250	655	813	Remove Tip
58506	58676	170	1170	797	Cap On
58696	58986	290	1156	742	Cap On
59016	59176	160	994	771	Cap On
59186	59586	400	964	841	Cap On
59596	60186	590	1012	832	Cap On
60345	60495	150	770	642	Cap On
60545	61464	919	972	782	Cap On
61475	62155	680	874	775	Cap On
62314	62384	70	1109	643	Cap On
62414	63024	610	925	589	Cap On
63074	63214	140	1296	476	Cap On
