Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Event
1789	2389	600	938	743	Cap Off
2678	3068	390	1010	844	Cap Off
3148	3228	80	958	825	Cap Off
3248	3328	80	935	744	Cap Off
3438	3768	330	1028	465	Cap Off
3808	4248	440	957	732	Cap Off
4327	4827	500	858	900	Cap Off
4847	4987	140	906	795	Setting Units
5087	5907	820	914	802	Setting Units
6026	6686	660	1288	577	Setting Units
6736	7775	1039	983	706	Apply Tip
7785	7945	160	960	759	Apply Tip
7955	11223	3268	1038	776	Apply Tip
11243	11653	410	956	708	Apply Tip
11683	12033	350	825	724	Apply Tip
12203	12433	230	959	616	Apply Tip
12503	12733	230	535	563	Priming
12913	13183	270	1005	557	Priming
13202	13302	100	905	589	Priming
13352	13902	550	618	491	Priming
13972	15041	1069	956	583	Priming
15101	15471	370	555	502	Priming
15591	15731	140	1028	652	Priming
15741	15981	240	960	624	Priming
16051	17440	1389	572	524	Priming
17500	18320	820	967	635	Priming
18379	18709	330	576	515	Priming
18819	19009	190	1029	763	Priming
19069	21877	2808	615	512	Priming
21947	22237	290	961	710	Priming
22307	23226	919	611	512	Priming
23276	23966	690	956	678	Priming
23976	24266	290	964	739	Priming
24336	25016	680	611	512	Priming
25105	25415	310	1028	853	Priming
25425	28043	2618	998	691	Priming
28154	28564	410	827	732	Setting Units
28613	29413	800	889	418	Injection
29463	34140	4677	941	513	Injection
34210	35699	1489	1009	140	Injection
35769	36169	400	907	535	Injection
36259	37099	840	963	156	Injection
37108	40466	3358	881	277	Injection
40487	40557	70	853	318	Injection
40646	41955	1309	800	680	Injection
41976	42256	280	803	708	Injection
42315	42955	640	851	351	Injection
43025	43325	300	802	712	Injection
43385	44205	820	862	328	Injection
44284	47752	3468	818	704	Injection
47792	48162	370	942	709	Injection
48212	48852	640	667	561	Injection
48992	49192	200	1397	823	Injection
49291	49711	420	738	742	Remove Tip
49721	51970	2249	931	779	Remove Tip
52060	52140	80	1003	823	Remove Tip
52190	52450	260	1007	769	Remove Tip
52500	52870	370	915	782	Remove Tip
53049	54718	1669	961	809	Remove Tip
54758	56137	1379	989	752	Remove Tip
56177	56557	380	1147	685	Remove Tip
56607	57187	580	825	779	Cap On
57207	57537	330	961	716	Cap On
57557	58027	470	904	758	Cap On
58166	58486	320	1081	541	Cap On
58526	59465	939	924	669	Cap On
59575	59855	280	894	697	Cap On
59915	60804	889	966	616	Cap On
