Wrist_L	Thumb_L	Index_L	Middle_L	Ring_L	Pinky_L	Time
0.0	0.0	0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.0	0.0	0.0	0.24
0.0	0.0	0.0	0.0	0.0	0.0	0.28
0.0	0.0	0.0	0.0	0.0	0.0	0.32
0.0	0.0	0.0	0.0	0.0	0.0	0.36
0.0	0.0	0.0	0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.0	0.0	0.0	0.44
0.0	0.0	0.0	0.0	0.0	0.0	0.48
0.0	0.0	0.0	0.0	0.0	0.0	0.52
0.0	0.0	0.0	0.0	0.0	0.0	0.56
0.0	0.0	0.0	0.0	0.0	0.0	0.6
0.0	0.0	0.0	0.0	0.0	0.0	0.64
0.0	0.0	0.0	0.0	0.0	0.0	0.68
0.0	0.0	0.0	0.0	0.0	0.0	0.72
0.0	0.0	0.0	0.0	0.0	0.0	0.76
0.0	0.0	0.0	0.0	0.0	0.0	0.8
0.0	0.0	0.0	0.0	0.0	0.0	0.84
0.0	0.0	0.0	0.0	0.0	0.0	0.88
0.0	0.0	0.0	0.0	0.0	0.0	0.92
0.0	0.0	0.0	0.0	0.0	0.0	0.96
0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	1.04
0.0	0.0	0.0	0.0	0.0	0.0	1.08
0.0	0.0	0.0	0.0	0.0	0.0	1.12
0.0	0.0	0.0	0.0	0.0	0.0	1.16
0.0	0.0	0.0	0.0	0.0	0.0	1.2
2252.718483209352	2252.718483209352	2252.718483209352	2252.718483209352	2252.718483209352	2252.718483209352	1.24
2234.3608043405347	2234.3608043405347	2234.3608043405347	2234.3608043405347	2234.3608043405347	2234.3608043405347	1.28
2300.4463899320217	2300.4463899320217	2300.4463899320217	2300.4463899320217	2300.4463899320217	2300.4463899320217	1.32
2353.238755654376	2353.238755654376	2353.238755654376	2353.238755654376	2353.238755654376	2353.238755654376	1.36
2408.3676327120475	2408.3676327120475	2408.3676327120475	2408.3676327120475	2408.3676327120475	2408.3676327120475	1.4
2447.1617163358687	2447.1617163358687	2447.1617163358687	2447.1617163358687	2447.1617163358687	2447.1617163358687	1.44
2474.223734002603	2474.223734002603	2474.223734002603	2474.223734002603	2474.223734002603	2474.223734002603	1.48
2465.5167815152936	2465.5167815152936	2465.5167815152936	2465.5167815152936	2465.5167815152936	2465.5167815152936	1.52
2441.7454249356433	2441.7454249356433	2441.7454249356433	2441.7454249356433	2441.7454249356433	2441.7454249356433	1.56
2395.5629768575895	2395.5629768575895	2395.5629768575895	2395.5629768575895	2395.5629768575895	2395.5629768575895	1.6
2349.262854831506	2349.262854831506	2349.262854831506	2349.262854831506	2349.262854831506	2349.262854831506	1.64
2303.555836313336	2303.555836313336	2303.555836313336	2303.555836313336	2303.555836313336	2303.555836313336	1.68
2263.3982345255536	2263.3982345255536	2263.3982345255536	2263.3982345255536	2263.3982345255536	2263.3982345255536	1.72
2216.6773817500484	2216.6773817500484	2216.6773817500484	2216.6773817500484	2216.6773817500484	2216.6773817500484	1.76
1758.4841660872673	1844.6514709559567	1830.3272140912766	1799.3358996064696	1747.10874133245	1674.5455638533517	1.8
1687.6807522617655	1656.6241207935188	1618.2634143667328	1599.786064965928	1563.372200458854	1524.3136695108476	1.84
1599.214324002399	1487.4160895986881	1445.301720814545	1430.1705154065116	1394.8013763644253	1348.708009475279	1.88
1515.2321460264366	1347.8436034171507	1301.277138157099	1287.0988188277286	1259.9074566244763	1233.2689542412672	1.92
1444.1474212222918	1256.231893440006	1210.7429800870286	1226.834401518909	1196.843424894806	1152.7914141576496	1.96
1399.212483430057	1240.690905198198	1148.819782477595	1207.3030834571364	1192.6347963140984	1146.3862515602298	2.0
1337.973008510932	1231.113769658711	1084.264674061264	1155.7259448157226	1146.609109439733	1096.6436778051118	2.04
1305.8557335729386	1221.2244611757042	1053.8378559844925	1139.3154255455213	1134.2238858103763	1089.2043902561027	2.08
1281.3285510857513	1226.2817507859795	1055.0212587529988	1059.9191769683898	1026.6240524075677	1000.6269245391068	2.12
1283.5838689270577	1258.9706075699016	1066.9007315162285	1024.1903363530312	983.0339127327329	966.897265247785	2.16
1295.8227367918737	1293.694882034498	1102.090193745917	1046.9443949847748	992.8310584586279	941.6624541523468	2.2
1317.0613326323428	1300.144694102153	1119.3109716617705	1061.2962820002074	1000.3583924623246	973.6726490902465	2.24
1326.0932401552545	1298.0124054884643	1140.6602393589717	1075.9789849431033	1004.3740569511607	974.2322866456851	2.28
1328.9357095627001	1293.9406242288242	1158.6514474288276	1093.7148360400834	1021.546643332153	992.5046006967699	2.32
1316.0973072299832	1273.6138576577678	1165.362810868349	1089.6313039239517	1030.5765781605328	1002.1372858689302	2.36
1306.553134283124	1254.9559420066041	1148.0476989227911	1091.4229645789355	1045.4634830101388	1014.7382795230949	2.4
1300.2641034716191	1240.9871579486633	1162.3027187333407	1096.0057714125332	1044.4018354956163	1018.3451313197102	2.44
1304.8406590405082	1253.40277340625	1180.499135535837	1115.4638614844537	1076.0492128190042	1066.9539189942711	2.48
1305.3319474958212	1271.371027660881	1206.5272845179356	1139.7811943796162	1120.5753939578037	1118.4810475327308	2.52
1299.241657418398	1276.2144075811138	1214.910816362774	1149.8569347571472	1134.5513287276588	1128.2708560883452	2.56
