Thumb_L	Index_L	Action
956.6135776654869	947.1895637406128	Cap Off
956.6135776654869	947.1895637406128	Cap Off
956.6135776654869	947.1895637406128	Cap Off
956.6135776654869	947.1895637406128	Cap Off
808.9311320895272	808.9311320895272	Cap Off
993.7511167628506	962.0050971728772	Cap Off
1035.8138327178583	997.777657828543	Cap Off
985.54644175707	964.4064100206837	Cap Off
857.5623211237091	845.9469259887377	Cap Off
796.5518711977363	788.0273887404202	Cap Off
956.6135776654869	947.1895637406128	Cap Off
956.6135776654869	947.1895637406128	Apply Tip
755.9081545134112	722.2490920106005	Apply Tip
783.7386413360028	704.2919076223313	Apply Tip
1136.4044377921873	1194.5779776645968	Apply Tip
1097.4200944002189	1199.300857467656	Apply Tip
1047.162055748517	1046.9342105497228	Apply Tip
1162.0825102569615	1178.266547128671	Apply Tip
1411.6482647365694	1397.3388714111707	Apply Tip
1401.706683788554	1415.4575815331875	Apply Tip
1109.0624528110366	1111.9603753342778	Apply Tip
933.1560892848585	904.8020779250262	Apply Tip
906.669142707535	875.9220389537866	Apply Tip
904.9369351731768	880.6431889420214	Apply Tip
903.898973735762	923.7300093057918	Apply Tip
920.8226897490458	933.9269805933922	Apply Tip
932.6878497524925	936.1688750966333	Apply Tip
945.4077038305736	917.7215554531207	Apply Tip
919.7750698284876	904.6582573883061	Apply Tip
930.799688111914	940.7308541107404	Apply Tip
918.0448195177776	903.4885981751383	Apply Tip
905.2739432137217	933.8800413349007	Apply Tip
915.6363357825838	946.0617124401302	Setting Units
926.7276147070179	927.7450097291525	Setting Units
931.4654285222659	940.630702918497	Setting Units
893.7084624103248	932.9097631570169	Setting Units
884.1726939484153	948.9519566803646	Setting Units
950.0670804692761	950.5578846404484	Setting Units
971.4645145607808	962.7462983119634	Setting Units
1011.4236883345362	957.264168185891	Priming
968.7684663966993	973.4698090208279	Priming
961.7065473735133	955.5468047517958	Priming
870.0397278836987	874.6715648713079	Priming
730.1210398527	710.03772205135	Priming
978.5472049401615	936.845040113175	Priming
1309.8900680723054	1305.9147861703461	Priming
969.6563874258734	956.1839945567956	Priming
832.8448530655327	856.9928579202772	Priming
975.685464330963	916.7863036083821	Priming
925.0845388394619	931.1400504716677	Priming
1115.1296905425206	1075.5936942016474	Priming
1100.618320098223	1057.8637630579578	Priming
1052.3527956382943	1016.1818274687745	Priming
1034.640199024984	994.8345360974648	Priming
1036.600780858855	996.8268477038204	Priming
1133.222461281405	1125.6376349169293	Priming
1168.1346520223713	1206.4248343079412	Setting Units
1165.7016296326065	1199.4606135296615	Setting Units
1161.410986024966	1203.778091918376	Setting Units
1160.0883901634934	1208.2094929095258	Setting Units
1157.1056209709454	1203.285878736018	Setting Units
1160.8286042570246	1209.2359550801807	Setting Units
1164.865206314863	1200.3721358459297	Injection
1167.794245097687	1204.9421165018134	Injection
1160.041077032884	1209.0689768265	Injection
1084.6647910688976	1063.211095095213	Injection
824.7693282427022	712.6166983761232	Injection
866.9910462127793	816.0921983314936	Injection
1133.9441937075408	1109.1344306335507	Injection
1325.6497089824056	1325.6497089824056	Injection
1156.668327651062	1118.7376714773	Injection
1072.2163214345994	1076.0286635647615	Injection
976.4505330065662	975.9760479517073	Injection
950.1128075932442	944.9668395799932	Injection
948.6898752793355	950.5170558624766	Injection
951.5206079574605	963.4273166758895	Injection
1178.3220260081364	1216.504040474085	Injection
799.5033783905002	766.606453388306	Injection
876.2084707808984	738.8780725868794	Injection
1106.7653615427305	970.7371592250994	Injection
1087.262621187666	948.3174150410954	Injection
1080.7945508008213	933.8611550617107	Injection
1083.4702318085729	930.4250199222874	Injection
1087.476570829017	931.427918662866	Injection
956.6135776654869	947.1895637406128	Injection
956.6135776654869	947.1895637406128	Injection
956.6135776654869	947.1895637406128	Injection
596.21192010725	596.21192010725	Injection
956.6135776654869	947.1895637406128	Injection
656.8034159672461	656.8034159672461	Injection
684.5318380780797	684.5318380780797	Injection
692.371461696408	692.371461696408	Injection
582.7196044829844	582.7196044829844	Injection
594.3674585266612	594.3674585266612	Injection
680.9577644561782	680.9577644561782	Injection
693.4684895902582	693.4684895902582	Injection
710.6275931648943	710.6275931648943	Injection
654.0643737293226	654.0643737293226	Injection
676.6245348579919	676.6245348579919	Remove Tip
956.6135776654869	947.1895637406128	Remove Tip
690.1801578608957	690.1801578608957	Remove Tip
704.267939311608	704.267939311608	Remove Tip
626.8448998656723	626.8448998656723	Remove Tip
681.1498740239622	681.1498740239622	Remove Tip
699.8394644856108	699.8394644856108	Remove Tip
684.6993409638235	684.6993409638235	Remove Tip
725.9982195412433	725.9982195412433	Remove Tip
956.6135776654869	947.1895637406128	Remove Tip
1040.1268979244594	977.0898606348663	Remove Tip
1142.340000366834	1033.1445271742994	Remove Tip
1102.0662437763149	1133.062615709545	Remove Tip
947.4461784204514	956.7786917260797	Remove Tip
956.6135776654869	947.1895637406128	Remove Tip
699.0357069967251	699.0357069967251	Remove Tip
1117.7644400637898	1117.7644400637898	Remove Tip
1096.1216516576305	1096.1216516576305	Remove Tip
1092.5478550621574	1092.5478550621574	Remove Tip
1058.6005173753406	1058.6005173753406	Remove Tip
1058.7618356789492	1058.7618356789492	Remove Tip
1091.5995386935217	1091.5995386935217	Cap On
1114.8401300485373	1114.8401300485373	Cap On
1087.1435445280667	1087.1435445280667	Cap On
1090.640408577115	1090.640408577115	Cap On
1105.4691608134162	1105.4691608134162	Cap On
1137.5366494970613	1137.5366494970613	Cap On
1221.7774279447563	1221.7774279447563	Cap On
601.159531080113	601.159531080113	Cap On
