Thumb_L	Index_L	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
0.0	0.0	0.8
0.0	0.0	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
1346.5814773358395	1353.5143448362442	1.08
1241.9264436223652	1248.525247718779	1.12
1151.2281436404478	1144.906194811201	1.16
1077.6897211950704	1073.3059334220995	1.2
1016.3458915957088	1014.7796255939915	1.24
968.0210414880409	970.839464027115	1.28
938.7323978833177	929.7974429949684	1.32
914.2480771149818	902.1943985285073	1.36
895.0131631016422	875.8789331048711	1.4
885.5282006483058	858.9096376321268	1.44
876.6452789419479	842.0350729191435	1.48
869.0926547514698	822.4736806242848	1.52
862.9639401284963	802.3830518124994	1.56
857.111874959755	792.3946402894072	1.6
849.4435602837046	781.5786580846637	1.64
841.020606317728	773.5819103712766	1.68
841.0475168530729	775.8420710685655	1.72
842.7634872288172	778.4974602317044	1.76
853.3204553635671	793.8586607130788	1.8
863.216295204362	803.2139854612204	1.84
869.2425602465819	802.2914401813965	1.88
880.2782130120677	806.680163378281	1.92
886.6688940291499	818.3164597337718	1.96
890.6193050523084	827.3229985995954	2.0
892.2451719320738	846.2921512999137	2.04
892.4009754015959	862.8736670844296	2.08
895.8367630676847	868.3355578814113	2.12
902.032055821868	876.8296526244502	2.16
905.905584003559	888.2299369357299	2.2
905.1493035068293	900.2496858884915	2.24
907.6092012018872	900.1805160607379	2.28
919.5025264084506	906.3232844987956	2.32
929.0899977932173	907.5842032893435	2.36
938.6061043519469	908.7746322154628	2.4
949.6695820894383	908.1188385111403	2.44
959.5303731546637	904.7219018896645	2.48
966.3798723473524	911.7649577347603	2.52
