Wrist_L	Thumb_L	Index_L	Middle_L	Ring_L	Pinky_L	Time
0.0	0.0	0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.0	0.0	0.0	0.24
0.0	0.0	0.0	0.0	0.0	0.0	0.28
0.0	0.0	0.0	0.0	0.0	0.0	0.32
0.0	0.0	0.0	0.0	0.0	0.0	0.36
0.0	0.0	0.0	0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.0	0.0	0.0	0.44
0.0	0.0	0.0	0.0	0.0	0.0	0.48
0.0	0.0	0.0	0.0	0.0	0.0	0.52
0.0	0.0	0.0	0.0	0.0	0.0	0.56
0.0	0.0	0.0	0.0	0.0	0.0	0.6
0.0	0.0	0.0	0.0	0.0	0.0	0.64
0.0	0.0	0.0	0.0	0.0	0.0	0.68
0.0	0.0	0.0	0.0	0.0	0.0	0.72
0.0	0.0	0.0	0.0	0.0	0.0	0.76
0.0	0.0	0.0	0.0	0.0	0.0	0.8
0.0	0.0	0.0	0.0	0.0	0.0	0.84
0.0	0.0	0.0	0.0	0.0	0.0	0.88
0.0	0.0	0.0	0.0	0.0	0.0	0.92
0.0	0.0	0.0	0.0	0.0	0.0	0.96
0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	1.04
0.0	0.0	0.0	0.0	0.0	0.0	1.08
0.0	0.0	0.0	0.0	0.0	0.0	1.12
0.0	0.0	0.0	0.0	0.0	0.0	1.16
0.0	0.0	0.0	0.0	0.0	0.0	1.2
0.0	0.0	0.0	0.0	0.0	0.0	1.24
0.0	0.0	0.0	0.0	0.0	0.0	1.28
2408.8154496600055	2408.8154496600055	2408.8154496600055	2408.8154496600055	2408.8154496600055	2408.8154496600055	1.32
2326.683231683387	2326.683231683387	2326.683231683387	2326.683231683387	2326.683231683387	2326.683231683387	1.36
2112.8571856104645	2112.8571856104645	2112.8571856104645	2112.8571856104645	2112.8571856104645	2112.8571856104645	1.4
1301.6598732049908	1251.2120741461642	1134.9187543413598	1135.6230884946606	1095.7129929358234	1052.5841056953384	1.44
1320.280255181738	1294.572435684167	1126.5875529530178	1092.926063898746	1062.2223161224629	1040.974002287491	1.48
1324.3496578409931	1346.7747938144432	1163.5157377926078	1105.300517434925	1082.4016483035487	1064.603957265633	1.52
1328.1807076950054	1364.4500193442298	1195.6778620421428	1125.3869059870353	1084.2269586495308	1078.2962332827676	1.56
1323.2228564125903	1373.0704024816907	1220.7664621776682	1139.1927118775475	1085.3298542762209	1051.1469075310288	1.6
1322.5019284855905	1370.7967462878087	1226.724221620994	1145.541778305511	1091.6312612357406	1058.6948061527323	1.64
1339.3678317410863	1353.267538697179	1249.2600984995152	1153.674090742739	1100.972210666456	1075.1725248562516	1.68
1346.4983164055477	1340.5737262478851	1230.317781801479	1142.362337039744	1087.196439246021	1063.274797616127	1.72
1351.172161601516	1316.6472436432912	1220.4302004112271	1144.3146489348185	1088.2551936215648	1051.74021587047	1.76
1352.8618919191013	1295.5553314226154	1210.6286230246092	1143.509710221127	1085.4727696798125	1043.54878265454	1.8
1350.6422009450507	1266.6033308775882	1176.3931060683958	1137.2168832984048	1075.4314483294079	1025.7683881464604	1.84
1332.0321117833091	1217.5506697613312	1135.7633947450263	1100.683537533531	1050.7495762035435	1010.9285313546426	1.88
1310.691978241914	1184.4769431498446	1110.0409498411007	1079.0703673090934	1040.543972957544	1020.5681923012921	1.92
1287.7433772695097	1167.852543789394	1088.4497000556648	1073.8666613403052	1044.8791282868704	1030.338174696596	1.96
1280.4522109063234	1145.5838186619326	1077.615932294636	1067.0749974474493	1048.7188736688245	1035.428527122327	2.0
1272.9606743969634	1142.1676691128005	1083.5739403546177	1060.673152359614	1033.0298565909613	1016.4245607485146	2.04
1267.5796769360095	1133.6603453927717	1066.4827393294597	1039.978995506811	1017.4582755993998	1008.68176962364	2.08
1266.4458471232417	1144.5843257974811	1062.1647188804516	1038.531450155926	1010.0894903255057	995.7509543806959	2.12
1266.0688063719235	1151.0237440370806	1069.2870926868284	1056.1314488912224	1017.823307693464	998.2309543055327	2.16
1250.9328476118499	1142.7544016682584	1075.6446002693858	1050.8666010982192	1005.4194285984537	982.6834206022085	2.2
1249.2090133812303	1139.4520020509474	1070.4784005255744	1048.9015369186268	1000.1846268623335	972.9714843064031	2.24
1254.2225800692188	1145.8595509510924	1075.8919919091452	1055.7839912569925	1017.3821425596738	991.2760543617849	2.28
1260.442124045627	1155.178412445632	1090.2281825731736	1072.6613138513067	1033.1297059413898	1004.1996027088957	2.32
1266.463213258575	1165.285412055171	1102.53959288794	1082.9103225159158	1045.248252330242	1013.5595170519035	2.36
1281.9913448763073	1176.4929400685307	1113.7197577788145	1099.8340734993606	1061.7254501899968	1021.5948220212356	2.4
1294.46966315935	1195.348333101816	1131.487715583953	1109.3460413289483	1069.864740309895	1035.0311949213983	2.44
1320.7129060782784	1216.771189442522	1149.5336112676657	1130.8329477859716	1085.876748572557	1053.122522826407	2.48
1344.2881400052254	1239.4991620740054	1174.9096278400182	1146.4481076568006	1104.0438956154298	1075.3997066342786	2.52
1366.1171089918334	1264.9436127338647	1198.8762742410006	1175.242779301417	1135.0975539663925	1101.9596122376204	2.56
1384.9644576521814	1285.168691629855	1216.0863158236768	1191.446073071344	1148.452076865033	1114.6329440247669	2.6
1388.855449849661	1284.1988084266845	1215.2251563028663	1190.127329998485	1150.8420495700964	1119.7825836477857	2.64
1381.7665211333835	1267.4255655846034	1202.1978782690985	1184.5858175136007	1146.5163113342107	1118.753830643801	2.68
1349.9125843360796	1199.3194785414826	1174.7851485064953	1149.3295566831985	1118.3923400943274	1084.576750165083	2.72
1325.2589863310955	1121.4424937710132	1087.8181783032635	1074.8705928119825	1057.5087757820581	1033.346870605775	2.76
1337.2050435449162	1078.7398034888959	1034.1214925329632	1027.242003747005	1011.9892742009866	997.1881554021564	2.8
1356.6520165032075	1069.4048569952731	1026.4269505236816	1030.192194600451	1011.0318454697783	995.8218737838453	2.84
1374.8700766048055	1107.566589564297	1051.4310297017576	1067.2803464457752	1058.1979539707906	1037.6181309028132	2.88
1402.7852037436999	1149.567747784905	1094.3687277066392	1106.0242571602844	1096.239182749588	1089.3514263575623	2.92
1431.8502854504197	1161.4293462631554	1090.488435627704	1082.858929246082	1045.2805604419373	1041.99527069585	2.96
1451.7912252534875	1165.1943084094617	1074.7586392907315	1071.0599819749748	1022.2289094505664	1014.184180999961	3.0
1467.871734643677	1164.522134337672	1063.4927719348368	1058.5637517548453	1008.7249892235028	989.9311512389854	3.04
1483.4032174074964	1160.3503309947137	1070.775718307186	1065.389714077152	1005.1519025117317	976.8560981683047	3.08
1486.8200757532754	1166.4583138306928	1091.1679209839444	1054.7781566675992	995.9228225216925	984.0096874615359	3.12
1494.0277117348105	1182.557212729402	1116.1145647379485	1062.5232810676694	1000.7111016209296	983.1706241982581	3.16
1498.8384876812372	1198.566867285536	1130.2885637287786	1071.5952551833072	1005.0702009486542	974.3807207092808	3.2
1512.5086430821061	1222.4849062420424	1142.4046832648676	1089.4168725688874	1030.7172484578857	1001.7354503231703	3.24
1523.6337342209806	1244.664754720522	1145.6987519351346	1092.7577081068396	1037.8115128347674	1000.4419490425827	3.28
1527.3703543635877	1246.7840094918447	1143.603847083423	1087.746530041839	1032.0228166521183	997.4470497467426	3.32
1529.7981215996201	1252.8205037949213	1144.2974834299175	1086.9255471025283	1032.215337444367	992.3149575625408	3.36
1534.0649662101139	1253.104000263677	1132.5651480638185	1082.7873657726016	1028.2635930373556	993.1272496692831	3.4
1534.2595422478619	1249.6066248830048	1125.601306701656	1074.7420851857698	1024.4458111945053	993.9613942451671	3.44
1541.8432658921283	1240.5328458040824	1104.0708820461214	1061.7200491496428	1015.4146901680198	1001.9248968938618	3.48
1551.0334366679676	1237.891231709827	1097.2229059811632	1063.4332298515433	1020.3536043023231	1004.5728795380527	3.52
1567.0720927107207	1249.6712929729053	1095.328971828122	1066.8866521674306	1030.9340808357617	1016.2953480365048	3.56
1597.6586936738324	1255.5063645646703	1113.27956455656	1075.435456756645	1039.975651059726	1044.9853684568352	3.6
1635.8844756528117	1260.2227043102205	1135.415610780416	1097.6249644578988	1056.652794477153	1049.130453365197	3.64
1666.544927986361	1268.439918261215	1166.6141948120724	1115.798668476298	1069.7954613007796	1056.1818676758273	3.68
1702.345156913878	1296.6423080058778	1186.4991765457553	1141.4536021694341	1087.6985445645148	1080.7201555531026	3.72
1739.166832212484	1317.1018505945378	1221.6844864411523	1179.7943810129161	1137.4893125702877	1136.3110888484307	3.76
1762.3825287387574	1338.2039283111067	1264.1696423661447	1216.352235342345	1175.6766912914256	1161.7249313018335	3.8
1778.317736371892	1372.8499154121334	1306.2825222920787	1291.7259066971435	1247.8995162315143	1232.8164166116492	3.84
1777.1269478610468	1377.0209703924122	1319.605474709237	1335.8002197005997	1321.8252010052847	1317.0138358933973	3.88
1737.768798893721	1367.345193651508	1301.3439087681923	1353.8485711911057	1357.8921835055332	1360.3403871239589	3.92
1703.5793267493568	1344.0015175532587	1331.4937068188483	1469.047209573647	1476.2469538554221	1460.8275360358127	3.96
1681.6744972508739	1323.450072400283	1392.4945524500752	1416.4374774065454	1465.26561399794	1473.9205228119906	4.0
1678.7633465785402	1308.1994812537412	1413.5622041173335	1451.505925979463	1479.778699244034	1480.382376483999	4.04
1686.8588184974344	1294.3738376979916	1376.4545095114383	1429.7178026293043	1483.7489293463427	1501.6619876213188	4.08
1695.792408949981	1291.0558342831612	1411.3797029771624	1439.6572639056642	1482.4098847819241	1497.0220033990154	4.12
1697.8335509232054	1299.1354823194226	1374.071150811304	1406.9878874640413	1448.146179053151	1477.767042019343	4.16
1703.4830322656462	1300.722429527868	1376.173370066099	1408.1929021852968	1449.9758870271626	1473.8995094925026	4.2
1703.5775415856945	1310.3910817361257	1382.2303547607908	1412.3741305722172	1447.3101758551393	1468.8679926614507	4.24
1706.1699011563305	1311.8074780706957	1389.9884615305941	1410.5950590717955	1446.2407369539208	1469.9533577565921	4.28
