Thumb_L	Index_L	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
791.3811721737034	781.1064248622457	0.2
799.8831820039269	776.1847834344553	0.24
798.0998367093075	787.4235414082456	0.28
806.2419523506192	790.0832296092349	0.32
812.1123092074957	796.0214040767415	0.36
821.5700401569142	795.6840718669197	0.4
830.9504995594864	816.2017554730897	0.44
837.037157999257	816.8828013859195	0.48
834.0396820367864	813.9775849678351	0.52
827.3443545995777	805.8993999580865	0.56
796.127018474941	783.2841611535138	0.6
747.9771912659721	738.276207653163	0.64
652.9170642600003	680.5557885530461	0.68
526.4288726532756	628.4362939456827	0.72
421.226684978259	572.6615728915108	0.76
351.3727027661596	507.4588451444924	0.8
302.39002438844267	458.28992100363365	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
0.0	0.0	1.08
0.0	0.0	1.12
0.0	0.0	1.16
0.0	0.0	1.2
0.0	0.0	1.24
0.0	0.0	1.28
0.0	0.0	1.32
0.0	0.0	1.36
0.0	0.0	1.4
0.0	0.0	1.44
0.0	0.0	1.48
0.0	0.0	1.52
0.0	0.0	1.56
0.0	0.0	1.6
0.0	0.0	1.64
0.0	0.0	1.68
846.6077867799195	790.1292309514993	1.72
896.095852925838	786.399192744358	1.76
922.0178702825848	798.6563852414912	1.8
951.1572153752392	810.7259260779659	1.84
974.1637225211704	826.7703526702611	1.88
988.2699232960551	860.1194290016947	1.92
1021.286098081468	895.5974356900264	1.96
1040.024489807699	921.1561413803411	2.0
1065.924938915071	946.4216631822767	2.04
1080.603963433112	967.8930342397279	2.08
1091.889225005897	977.1447913092353	2.12
1091.4893633721415	986.7589893058855	2.16
1074.1209404821702	994.4555752353693	2.2
1062.9948181892753	1008.3427653696932	2.24
1050.3033219347035	1000.1672220214297	2.28
1042.1825993355735	989.34344231909	2.32
1039.6267340101942	987.1863870669275	2.36
1026.5379592771826	978.6284032787506	2.4
1020.3851695604584	985.5964024661102	2.44
1028.6770507906729	967.7790867706733	2.48
