Wrist_L	Thumb_L	Index_L	Middle_L	Ring_L	Pinky_L	Time
0.0	0.0	0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.0	0.0	0.0	0.24
0.0	0.0	0.0	0.0	0.0	0.0	0.28
0.0	0.0	0.0	0.0	0.0	0.0	0.32
0.0	0.0	0.0	0.0	0.0	0.0	0.36
0.0	0.0	0.0	0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.0	0.0	0.0	0.44
0.0	0.0	0.0	0.0	0.0	0.0	0.48
0.0	0.0	0.0	0.0	0.0	0.0	0.52
0.0	0.0	0.0	0.0	0.0	0.0	0.56
2128.265336364252	2128.265336364252	2128.265336364252	2128.265336364252	2128.265336364252	2128.265336364252	0.6
2163.955543621732	2163.955543621732	2163.955543621732	2163.955543621732	2163.955543621732	2163.955543621732	0.64
2177.0387945091375	2177.0387945091375	2177.0387945091375	2177.0387945091375	2177.0387945091375	2177.0387945091375	0.68
2175.6785986161794	2175.6785986161794	2175.6785986161794	2175.6785986161794	2175.6785986161794	2175.6785986161794	0.72
2179.1010181981924	2179.1010181981924	2179.1010181981924	2179.1010181981924	2179.1010181981924	2179.1010181981924	0.76
2182.165182285921	2182.165182285921	2182.165182285921	2182.165182285921	2182.165182285921	2182.165182285921	0.8
2177.123887044594	2177.123887044594	2177.123887044594	2177.123887044594	2177.123887044594	2177.123887044594	0.84
2183.070326808059	2183.070326808059	2183.070326808059	2183.070326808059	2183.070326808059	2183.070326808059	0.88
2179.345930733518	2179.345930733518	2179.345930733518	2179.345930733518	2179.345930733518	2179.345930733518	0.92
2175.3012674197453	2175.3012674197453	2175.3012674197453	2175.3012674197453	2175.3012674197453	2175.3012674197453	0.96
2150.8595589804377	2150.8595589804377	2150.8595589804377	2150.8595589804377	2150.8595589804377	2150.8595589804377	1.0
2149.7771963407126	2149.7771963407126	2149.7771963407126	2149.7771963407126	2149.7771963407126	2149.7771963407126	1.04
2160.0689930001367	2160.0689930001367	2160.0689930001367	2160.0689930001367	2160.0689930001367	2160.0689930001367	1.08
2167.395229937675	2167.395229937675	2167.395229937675	2167.395229937675	2167.395229937675	2167.395229937675	1.12
2168.8904350449734	2168.8904350449734	2168.8904350449734	2168.8904350449734	2168.8904350449734	2168.8904350449734	1.16
2141.5275933624685	2141.5275933624685	2141.5275933624685	2141.5275933624685	2141.5275933624685	2141.5275933624685	1.2
2111.8964012235147	2111.8964012235147	2111.8964012235147	2111.8964012235147	2111.8964012235147	2111.8964012235147	1.24
2060.055929367475	2060.055929367475	2060.055929367475	2060.055929367475	2060.055929367475	2060.055929367475	1.28
1196.177502339235	771.6902033942735	530.5159680772574	462.1002272893398	446.8714000396847	533.7491713940332	1.32
1228.761082482091	783.9692506718592	541.3414542115819	476.3778698161085	459.72048237337424	539.1976691012693	1.36
1235.9102857368846	791.5410232902287	548.4928006284842	487.67920243212996	478.7068938666827	557.9535560919812	1.4
1240.701563422031	789.2555780509776	549.063172849813	486.2415824639148	477.642089344291	559.4333071699098	1.44
1247.1336875531533	770.4206642428227	545.9009901206775	489.2782928799023	480.6742709264489	558.7668457385391	1.48
1243.7936631301282	733.1297944350829	540.1139108112741	473.0568923744033	464.8720903034619	537.9724507428662	1.52
1253.9410447017956	701.1257567452357	525.7074795122468	469.1638686740716	441.09850457868254	516.0536405435897	1.56
1295.019526276191	654.0230126617956	500.4733804035701	439.8038628875082	442.4640232305074	516.9486768562566	1.6
1328.5592615391872	633.0659384697803	482.42660915066875	456.73807330293334	486.54389245821864	552.3002595193752	1.64
1392.8455158545637	653.9039067013803	514.7170167794784	528.5930735026413	561.4776805214934	587.7128505576267	1.68
1489.056248977245	724.3966051664382	637.3675918142967	683.388651004041	704.9548905323273	728.6110340890882	1.72
1607.4185451836247	876.4671188095481	796.9426286835347	829.2286672138773	824.7571605704807	835.1561688629314	1.76
1741.677903134245	1115.1525406734024	981.1745633047387	990.7523273215196	980.4962686841735	990.3719640267808	1.8
1851.207546519071	1361.145035353772	1129.4412762277163	1137.530019869778	1143.0921362225415	1135.2931169367014	1.84
1937.8561319829337	1599.6377004517549	1242.506133649557	1285.1354795667382	1281.5421956642751	1279.192368273649	1.88
1969.922894817675	1700.0595681281707	1313.12746220108	1368.5167800297615	1338.788340104067	1343.3865330184183	1.92
1974.9245122388886	1719.5633559490884	1329.9665119937895	1409.2641283207158	1403.0655247501559	1413.699301983875	1.96
1959.693357940814	1675.2348130675646	1378.1706135499223	1459.2567117779522	1460.5511047524571	1460.0996096410456	2.0
1938.7297042127002	1573.1062607869092	1418.67903711515	1463.8808876560056	1461.420425618432	1457.9376726531225	2.04
1916.4851247752208	1575.4191584792325	1419.3015837871212	1481.1065800691074	1480.1542989579832	1462.084305767991	2.08
1901.8964399583351	1555.8602337421023	1385.1430290580006	1465.267627417705	1465.957412843511	1439.770144215734	2.12
1874.084241333373	1546.979629508019	1365.254800208379	1450.8458519210305	1434.2423955688723	1399.4797038087459	2.16
1859.8601778626187	1553.252161471429	1360.3518983513156	1424.0932768675814	1401.0921761277798	1375.494762625388	2.2
1848.77083938374	1543.3378958038893	1347.1610079138743	1411.3106401131092	1384.6753615451585	1362.5228042695987	2.24
1832.7007958871093	1543.630270360275	1335.88048216971	1388.5170044759932	1357.147553925614	1337.477153135627	2.28
1824.8541613596149	1529.2443757847375	1335.2928337528926	1380.7980682478421	1346.2620232445684	1328.6348275008786	2.32
1808.6639010905728	1520.2029868869447	1326.393079057446	1365.1824474488794	1324.8027120558152	1303.9978638800621	2.36
1786.284907405718	1503.147645282068	1318.9567082368933	1347.697228708051	1308.5070685293038	1292.3979165648163	2.4
1767.730795391336	1495.515612618669	1309.920618035545	1337.3204188405061	1294.8386711414407	1277.8853054918145	2.44
1752.4580397912405	1491.0185091503834	1303.8798482855589	1330.9825710754096	1288.9365801862145	1270.947856532442	2.48
1740.4310054709938	1490.1802865002323	1303.0416892037867	1335.5907748662837	1291.5688506400518	1269.0077613393025	2.52
1735.74159377544	1484.9136851670696	1299.8246506465089	1329.6045017320182	1281.7793666619502	1259.1896209697347	2.56
1737.0224550726593	1491.2290828171347	1303.91237371774	1327.588549379731	1277.060595216224	1254.5040234482703	2.6
1732.9302166082691	1499.979166629477	1299.5448968223411	1324.9475768188556	1276.9122221247644	1255.2495508600618	2.64
1736.7592225541766	1504.5778539420191	1307.1309807796656	1334.738014706793	1288.3283808503033	1264.5794798520121	2.68
1736.737679541812	1508.2642484601834	1312.192907410607	1343.2398878365482	1294.4894434100217	1267.980145007907	2.72
1722.723975145127	1495.7403735137532	1311.865678432748	1334.5564729913992	1290.475393926964	1263.9439644815932	2.76
1699.4321281637685	1469.3055982487053	1282.491587940164	1302.4096401791085	1276.8463487957563	1258.2310287945509	2.8
1690.241201649704	1435.3107314740328	1269.207679692408	1302.8741638287172	1268.6708637456027	1241.2244731485919	2.84
1679.7008809310034	1405.304609782473	1232.961617371766	1278.0957915912522	1246.818726040429	1219.6752053822534	2.88
1657.710938345814	1391.2830784772805	1203.0603692405741	1255.0561751209073	1232.014876410543	1201.1358629748556	2.92
1656.049838701365	1372.1752089547756	1201.873894658351	1248.1768410115587	1243.4983817818938	1212.935740122178	2.96
1659.8847561887073	1379.85997646246	1205.4287752479734	1245.6628750554758	1237.3988369647957	1209.8476733172295	3.0
1662.2574265130065	1376.8082788519796	1202.9080403184314	1246.8595249619116	1243.751202757493	1223.0465945465182	3.04
1672.5278983860953	1382.8422325951433	1209.156179242611	1253.4777080666668	1272.2160218964336	1245.52553881889	3.08
1679.8501814147962	1381.9714539890504	1216.0890056273995	1255.423675556915	1259.1643649749392	1245.1878133978955	3.12
1685.7622659789195	1384.0016052491037	1212.3668144973208	1251.320738606714	1279.193166118332	1263.7902351136045	3.16
1701.4344171877306	1382.4763169906528	1219.9164208125044	1247.4466868200427	1272.330161861367	1259.1818296195886	3.2
1711.1273320123023	1386.9715697610702	1222.7538311304986	1256.6500509347966	1281.9909776194013	1265.953632254662	3.24
1711.7996296306214	1388.4936234419633	1217.7677487180974	1258.6226209941758	1299.5887464661719	1278.8840195007979	3.28
1716.658213903912	1388.6777880415996	1219.1218200101982	1248.7722783089002	1273.622222761345	1267.962519852881	3.32
1718.8461988723827	1388.2764646356522	1206.032653243475	1246.4878014877097	1273.0558544463174	1264.978236709753	3.36
1714.0550940927135	1390.6476100382777	1208.093281784596	1247.7887723104939	1264.2627669227334	1251.9318775267102	3.4
1705.4535074256594	1382.8799850099253	1214.874640912976	1255.3341704841607	1253.4502673266709	1246.286463857774	3.44
1698.6494643710314	1378.8937974105136	1204.1366440228842	1247.9007096569032	1270.1597131668489	1262.9767387055647	3.48
1683.795155733645	1369.4805399183679	1203.9732742914002	1232.7454598886598	1242.325105214061	1242.131031205587	3.52
1668.9011343073591	1361.037986599639	1198.4996365285506	1231.2647241320624	1225.2091528870728	1224.8061224501416	3.56
1650.8342231976362	1355.3535003740612	1189.8121574404188	1234.6953044186114	1228.0771676652214	1222.6948082088875	3.6
1635.8271844349847	1359.2112870309447	1195.8992232390794	1235.16433372675	1230.6049476780313	1222.7810765290728	3.64
1631.628412949401	1355.171602270228	1205.881757671678	1244.6014968605223	1227.7299137096022	1222.8170344350817	3.68
1634.380463493445	1356.1464273996633	1191.4750094967897	1222.7974620498849	1210.8200474454618	1202.424120032594	3.72
1631.189272215374	1354.7088766238082	1200.7823171545829	1231.1523118562104	1218.040001994716	1206.9023865617987	3.76
1627.3890010606094	1347.406189607849	1177.7027401367668	1199.4879543021566	1188.3467180902787	1182.6333014743545	3.8
1617.2489076739942	1345.9919165948859	1174.9768813292303	1189.8796838261994	1180.9505545204797	1176.528399299051	3.84
1605.1475413469075	1342.890168203776	1166.8262895510275	1193.0125965835723	1192.0918748040797	1184.5915266650334	3.88
1593.8588508120413	1339.6058957021178	1175.1861761607663	1194.2912924317025	1174.1270004673197	1170.5732734702267	3.92
1582.225912712696	1334.923213630037	1163.8351530076586	1189.0042674046829	1178.609216740265	1173.2948248128557	3.96
