Thumb_L	Index_L	Time
1358.271753192514	1392.7943434175463	6.24
1346.0247631082375	1371.100209129103	6.28
1308.9043916346438	1317.6373580018246	6.32
1264.0495265134869	1264.2896424597054	6.36
1202.813630914744	1199.1359452705772	6.4
1134.8492003153744	1143.3598645875734	6.44
1068.169294117337	1080.85145090199	6.48
1007.529191221963	1020.5612828095946	6.52
963.1987735819903	972.3038234214447	6.56
929.0267294560249	924.2594755980181	6.6
904.1461505775255	901.2237665917131	6.64
904.6856012660722	884.0133292154775	6.68
897.7170562343802	863.2622010951881	6.72
900.5643320932355	874.8485212744505	6.76
907.1928952443559	877.1210273182882	6.8
919.6134904393884	884.6024805652728	6.84
929.6651589175156	888.5594596045004	6.88
936.2638430184861	898.5363967629912	6.92
942.5337944772153	906.563995399701	6.96
