Thumb_L	Index_L	Action
1107.2213650355473	1085.8572687197548	Cap Off
1107.2213650355473	1085.8572687197548	Cap Off
1551.2704885659725	1551.2704885659725	Cap Off
1349.867223781692	1349.867223781692	Cap Off
1389.623926878681	1389.623926878681	Cap Off
1396.2665088046726	1396.2665088046726	Cap Off
1428.947932420741	1428.947932420741	Cap Off
1158.7985112088033	1158.7985112088033	Cap Off
1103.4306767743885	1103.4306767743885	Cap Off
1085.8572687197548	1085.8572687197548	Cap Off
1198.3852559366094	1198.3852559366094	Cap Off
1337.64301062575	1337.64301062575	Cap Off
1321.7989856778386	1321.7989856778386	Cap Off
1283.5766183968638	1283.5766183968638	Cap Off
1255.7163111795867	1255.7163111795867	Cap Off
1230.6201963327608	1230.6201963327608	Cap Off
1204.4504250278442	1204.4504250278442	Cap Off
1175.5876355381133	1175.5876355381133	Apply Tip
1162.3647619555375	1162.3647619555375	Apply Tip
1153.230360485366	1153.230360485366	Apply Tip
1138.974952470498	1138.974952470498	Apply Tip
1159.496451045443	1159.496451045443	Apply Tip
1161.7646326131073	1161.7646326131073	Apply Tip
1149.163815388066	1149.163815388066	Apply Tip
1155.9093867821782	1155.9093867821782	Apply Tip
1184.1993043872462	1184.1993043872462	Apply Tip
1236.4869864043408	1236.4869864043408	Apply Tip
1167.4289062981848	1167.4289062981848	Apply Tip
1419.2016389841503	1386.5352830448041	Apply Tip
1107.2213650355473	1085.8572687197548	Apply Tip
1107.2213650355473	1085.8572687197548	Apply Tip
1362.3632888861891	1362.3632888861891	Apply Tip
1331.4356281883015	1331.4356281883015	Apply Tip
1322.802180029489	1322.802180029489	Apply Tip
1316.5931529453421	1316.5931529453421	Apply Tip
1311.2897554587764	1311.2897554587764	Apply Tip
1308.3268645228031	1308.3268645228031	Apply Tip
1305.9014066906884	1305.9014066906884	Apply Tip
1305.746565713421	1305.746565713421	Setting Units
1304.592794045319	1304.592794045319	Setting Units
1305.5816426641754	1305.5816426641754	Setting Units
1344.567692905202	1344.567692905202	Setting Units
1433.5970414154965	1433.5970414154965	Setting Units
1493.8692641363348	1493.8692641363348	Setting Units
1471.8002840803865	1471.8002840803865	Setting Units
1243.5626987258993	1243.5626987258993	Setting Units
1194.7637638535998	1194.7637638535998	Setting Units
1168.8186373655117	1168.8186373655117	Priming
1143.407808701022	1143.407808701022	Priming
1127.9661439506674	1127.9661439506674	Priming
1113.7130193797502	1113.7130193797502	Priming
1103.3015227589472	1103.3015227589472	Priming
916.0412909737579	916.0412909737579	Priming
1107.2213650355473	1085.8572687197548	Priming
1107.2213650355473	1085.8572687197548	Priming
1107.2213650355473	1085.8572687197548	Priming
