Thumb_L	Index_L	Action
1054.2786695977195	1054.2786695977195	Cap Off
607.4056727262231	607.4056727262231	Cap Off
1094.7750066990475	1094.7750066990475	Apply Tip
1252.1005355591285	1252.1005355591285	Apply Tip
1342.58520047717	1342.58520047717	Apply Tip
1326.3938657116412	1326.3938657116412	Apply Tip
1052.725925559339	1052.725925559339	Apply Tip
1065.6793245349543	1065.6793245349543	Apply Tip
1044.7210494411636	1044.7210494411636	Apply Tip
1024.0517297471083	1024.0517297471083	Setting Units
1141.3987430985753	1141.3987430985753	Setting Units
1322.6061825824675	1322.6061825824675	Priming
1299.8371900804104	1299.8371900804104	Priming
1154.737972284844	1154.737972284844	Priming
1055.8314136361	1055.8314136361	Priming
1058.180882026549	1058.180882026549	Priming
1210.0386255430822	1210.0386255430822	Priming
1230.236157669813	1230.236157669813	Priming
1240.4425725412054	1240.4425725412054	Priming
1245.0037506237102	1245.0037506237102	Priming
1245.1774495908844	1245.1774495908844	Priming
1246.425170778618	1246.425170778618	Priming
1242.232981503678	1242.232981503678	Priming
1226.4539344812745	1226.4539344812745	Priming
1343.1276336420874	1343.1276336420874	Priming
1653.5241558533526	1653.5241558533526	Priming
1644.6589172234787	1644.6589172234787	Priming
1637.5373238668515	1637.5373238668515	Priming
1631.5727038129562	1631.5727038129562	Priming
1631.337302273228	1631.337302273228	Priming
1633.2945473270483	1633.2945473270483	Priming
1626.451445493529	1626.451445493529	Priming
1630.9801434633293	1630.9801434633293	Priming
1632.3428959988491	1632.3428959988491	Priming
1634.2685315414956	1634.2685315414956	Priming
1625.5898113259918	1625.5898113259918	Setting Units
1628.1244002410772	1628.1244002410772	Setting Units
1626.8735254002013	1626.8735254002013	Setting Units
1256.8343080608306	1256.8343080608306	Setting Units
992.2817331622473	992.2817331622473	Setting Units
975.9219305020314	975.9219305020314	Injection
969.2599560405769	969.2599560405769	Injection
964.0313905891576	964.0313905891576	Injection
968.100153407904	968.100153407904	Injection
988.3204356610913	988.3204356610913	Injection
1340.2170306757914	1340.2170306757914	Injection
770.793273956167	719.6604604805857	Injection
1054.2786695977195	1054.2786695977195	Injection
1054.2786695977195	1054.2786695977195	Injection
323.4508881681633	323.4508881681633	Injection
495.78128898473483	495.78128898473483	Injection
363.6022878909189	363.6022878909189	Injection
1054.2786695977195	1054.2786695977195	Injection
1054.2786695977195	1054.2786695977195	Injection
486.6141936455297	486.6141936455297	Injection
309.922283280455	309.922283280455	Injection
689.2683639071595	689.2683639071595	Injection
397.9430464965695	397.9430464965695	Injection
338.0072243283201	338.0072243283201	Injection
1054.2786695977195	1054.2786695977195	Injection
1054.2786695977195	1054.2786695977195	Injection
353.61008410716397	353.61008410716397	Injection
1054.2786695977195	1054.2786695977195	Injection
617.5116310654593	617.5116310654593	Injection
494.7078294802392	494.7078294802392	Remove Tip
435.6918952966851	435.6918952966851	Remove Tip
310.5314880441465	310.5314880441465	Remove Tip
489.77703519230886	489.77703519230886	Remove Tip
635.0026856837508	635.0026856837508	Remove Tip
561.1701284397483	561.1701284397483	Remove Tip
430.74114979133225	430.74114979133225	Remove Tip
1054.2786695977195	1054.2786695977195	Cap On
728.7088573219504	728.7088573219504	Cap On
1026.3962806317895	1026.3962806317895	Cap On
1219.8099283263107	1219.8099283263107	Cap On
1218.6831657654054	1218.6831657654054	Cap On
1405.6333575859014	1405.6333575859014	Cap On
1141.8839709035153	1141.8839709035153	Cap On
1237.328197600023	1237.328197600023	Cap On
1145.018544420163	1130.2615159545228	Cap On
886.8847994118489	844.3462600788289	Cap On
889.6003558829223	840.1143021766744	Cap On
