Thumb_L	Index_L	Action
1060.1377015862085	1060.1377015862085	Cap Off
1060.1377015862085	1060.1377015862085	Cap Off
1342.63706930176	1342.63706930176	Cap Off
1182.5388317010702	1182.5388317010702	Cap Off
1125.4140618692927	1125.4140618692927	Cap Off
1095.1223643395663	1095.1223643395663	Cap Off
1113.2006972137196	1113.2006972137196	Cap Off
1100.1314000547893	1100.1314000547893	Cap Off
1197.3578370011764	1197.3578370011764	Cap Off
1375.4775887969613	1375.4775887969613	Cap Off
1319.067262316198	1319.067262316198	Cap Off
1283.7312820772158	1283.7312820772158	Cap Off
1242.8058918988822	1242.8058918988822	Cap Off
1189.0733125808074	1189.0733125808074	Cap Off
1169.1458468722496	1169.1458468722496	Cap Off
1147.5084104135726	1147.5084104135726	Cap Off
1171.7303223170616	1171.7303223170616	Cap Off
1189.15695623666	1189.15695623666	Cap Off
1199.1365029702552	1199.1365029702552	Cap Off
1194.6966136653336	1194.6966136653336	Cap Off
1140.8539511607937	1140.8539511607937	Cap Off
1115.00780769716	1115.00780769716	Cap Off
1089.1853835148697	1089.1853835148697	Cap Off
1083.0190327064743	1083.0190327064743	Apply Tip
1083.385534891508	1083.385534891508	Apply Tip
1080.2756370651807	1080.2756370651807	Apply Tip
1071.4706824258012	1071.4706824258012	Apply Tip
1066.7114109311026	1066.7114109311026	Apply Tip
1065.1275954870327	1065.1275954870327	Apply Tip
1069.205421306938	1069.205421306938	Apply Tip
1065.9546093551648	1065.9546093551648	Apply Tip
1063.8415043068944	1063.8415043068944	Apply Tip
1060.1377015862085	1060.1377015862085	Apply Tip
1064.068235283163	1064.068235283163	Apply Tip
1048.469251747094	1048.469251747094	Apply Tip
1042.9738402477565	1042.9738402477565	Apply Tip
1015.7689769404801	1015.7689769404801	Apply Tip
1058.5096461945236	1058.5096461945236	Apply Tip
1032.957188170059	1032.957188170059	Apply Tip
1021.7278431966635	1021.7278431966635	Apply Tip
1056.6831694660382	1056.6831694660382	Apply Tip
1289.3174328714588	1289.3174328714588	Apply Tip
1349.9343493713604	1349.9343493713604	Apply Tip
1164.4976747285577	1164.4976747285577	Apply Tip
1022.1196748217604	1022.1196748217604	Apply Tip
1017.9333481914977	1017.9333481914977	Apply Tip
1080.1698164217846	1080.1698164217846	Apply Tip
1255.908497520156	1255.908497520156	Apply Tip
1264.3295947546646	1264.3295947546646	Apply Tip
1273.9534007962184	1273.9534007962184	Apply Tip
1278.4541461322603	1278.4541461322603	Apply Tip
1285.2573469082133	1285.2573469082133	Apply Tip
1292.880442122576	1292.880442122576	Apply Tip
1296.4964706990013	1296.4964706990013	Setting Units
1298.2159369835892	1298.2159369835892	Setting Units
1300.6126404025906	1300.6126404025906	Setting Units
1302.2651836252398	1302.2651836252398	Setting Units
1396.5522976339478	1396.5522976339478	Setting Units
1494.63498591809	1494.63498591809	Setting Units
1496.3248226187616	1496.3248226187616	Priming
1496.0424501313644	1496.0424501313644	Priming
1500.9625044136537	1500.9625044136537	Priming
1502.3859330722262	1502.3859330722262	Priming
1509.9084598948316	1509.9084598948316	Priming
1514.1173198705158	1514.1173198705158	Priming
1519.6324170872522	1519.6324170872522	Priming
1515.5635918988428	1515.5635918988428	Priming
1514.837323794453	1514.837323794453	Priming
1515.946325633585	1515.946325633585	Priming
1517.0631175563863	1517.0631175563863	Priming
1517.514451609901	1517.514451609901	Priming
1278.7338798171932	1278.7338798171932	Priming
1012.4060863784708	1012.4060863784708	Priming
1018.6838958301051	1018.6838958301051	Priming
1023.5860882016136	1023.5860882016136	Priming
1047.1099692126609	1047.1099692126609	Priming
1258.2577011421545	1258.2577011421545	Priming
1551.6642709783303	1551.6642709783303	Setting Units
1525.5655379956625	1525.5655379956625	Setting Units
1465.6299125829944	1465.6299125829944	Setting Units
1312.4905913876362	1312.4905913876362	Setting Units
1351.4673347754358	1351.4673347754358	Setting Units
1080.9468861320156	1080.9468861320156	Setting Units
506.2492745120984	506.2492745120984	Setting Units
1034.583469673343	1034.583469673343	Injection
1029.15100086538	1029.15100086538	Injection
1028.8708816061508	1028.8708816061508	Injection
1037.1399116870568	1037.1399116870568	Injection
