Wrist_R	Thumb_R	Index_R	Middle_R	Ring_R	Pinky_R	Time
0.0	0.0	0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.0	0.0	0.0	0.24
0.0	0.0	0.0	0.0	0.0	0.0	0.28
0.0	0.0	0.0	0.0	0.0	0.0	0.32
0.0	0.0	0.0	0.0	0.0	0.0	0.36
0.0	0.0	0.0	0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.0	0.0	0.0	0.44
0.0	0.0	0.0	0.0	0.0	0.0	0.48
0.0	0.0	0.0	0.0	0.0	0.0	0.52
0.0	0.0	0.0	0.0	0.0	0.0	0.56
0.0	0.0	0.0	0.0	0.0	0.0	0.6
0.0	0.0	0.0	0.0	0.0	0.0	0.64
0.0	0.0	0.0	0.0	0.0	0.0	0.68
0.0	0.0	0.0	0.0	0.0	0.0	0.72
0.0	0.0	0.0	0.0	0.0	0.0	0.76
0.0	0.0	0.0	0.0	0.0	0.0	0.8
0.0	0.0	0.0	0.0	0.0	0.0	0.84
0.0	0.0	0.0	0.0	0.0	0.0	0.88
0.0	0.0	0.0	0.0	0.0	0.0	0.92
0.0	0.0	0.0	0.0	0.0	0.0	0.96
1458.7713511452457	1458.7713511452457	1458.7713511452457	1458.7713511452457	1458.7713511452457	1458.7713511452457	1.0
1467.342669637513	1467.342669637513	1467.342669637513	1467.342669637513	1467.342669637513	1467.342669637513	1.04
1468.6727636413746	1468.6727636413746	1468.6727636413746	1468.6727636413746	1468.6727636413746	1468.6727636413746	1.08
1469.7510499938398	1469.7510499938398	1469.7510499938398	1469.7510499938398	1469.7510499938398	1469.7510499938398	1.12
1475.2996002556363	1475.2996002556363	1475.2996002556363	1475.2996002556363	1475.2996002556363	1475.2996002556363	1.16
1489.3432566947795	1489.3432566947795	1489.3432566947795	1489.3432566947795	1489.3432566947795	1489.3432566947795	1.2
1496.0572379885828	1496.0572379885828	1496.0572379885828	1496.0572379885828	1496.0572379885828	1496.0572379885828	1.24
1509.7368457052478	1509.7368457052478	1509.7368457052478	1509.7368457052478	1509.7368457052478	1509.7368457052478	1.28
1530.6996800300935	1530.6996800300935	1530.6996800300935	1530.6996800300935	1530.6996800300935	1530.6996800300935	1.32
1554.9739232368713	1554.9739232368713	1554.9739232368713	1554.9739232368713	1554.9739232368713	1554.9739232368713	1.36
1566.6333202381134	1566.6333202381134	1566.6333202381134	1566.6333202381134	1566.6333202381134	1566.6333202381134	1.4
1578.3457984714266	1578.3457984714266	1578.3457984714266	1578.3457984714266	1578.3457984714266	1578.3457984714266	1.44
1576.6323711826863	1576.6323711826863	1576.6323711826863	1576.6323711826863	1576.6323711826863	1576.6323711826863	1.48
1580.9281315659741	1580.9281315659741	1580.9281315659741	1580.9281315659741	1580.9281315659741	1580.9281315659741	1.52
1618.796637805812	1618.796637805812	1618.796637805812	1618.796637805812	1618.796637805812	1618.796637805812	1.56
1675.567303618605	1675.567303618605	1675.567303618605	1675.567303618605	1675.567303618605	1675.567303618605	1.6
1689.7437167647852	1689.7437167647852	1689.7437167647852	1689.7437167647852	1689.7437167647852	1689.7437167647852	1.64
1725.7434056650384	1725.7434056650384	1725.7434056650384	1725.7434056650384	1725.7434056650384	1725.7434056650384	1.68
1749.869979187172	1749.869979187172	1749.869979187172	1749.869979187172	1749.869979187172	1749.869979187172	1.72
1764.139079014592	1764.139079014592	1764.139079014592	1764.139079014592	1764.139079014592	1764.139079014592	1.76
1774.2387290828492	1774.2387290828492	1774.2387290828492	1774.2387290828492	1774.2387290828492	1774.2387290828492	1.8
1754.2277921633313	1754.2277921633313	1754.2277921633313	1754.2277921633313	1754.2277921633313	1754.2277921633313	1.84
1741.7114709826205	1741.7114709826205	1741.7114709826205	1741.7114709826205	1741.7114709826205	1741.7114709826205	1.88
1748.5928246882436	1748.5928246882436	1748.5928246882436	1748.5928246882436	1748.5928246882436	1748.5928246882436	1.92
1744.5299267645034	1744.5299267645034	1744.5299267645034	1744.5299267645034	1744.5299267645034	1744.5299267645034	1.96
1751.0633440626796	1751.0633440626796	1751.0633440626796	1751.0633440626796	1751.0633440626796	1751.0633440626796	2.0
1731.8047838865277	1731.8047838865277	1731.8047838865277	1731.8047838865277	1731.8047838865277	1731.8047838865277	2.04
1737.1798080931096	1737.1798080931096	1737.1798080931096	1737.1798080931096	1737.1798080931096	1737.1798080931096	2.08
1732.2768183306966	1732.2768183306966	1732.2768183306966	1732.2768183306966	1732.2768183306966	1732.2768183306966	2.12
1733.7252962845428	1733.7252962845428	1733.7252962845428	1733.7252962845428	1733.7252962845428	1733.7252962845428	2.16
1733.021457359258	1733.021457359258	1733.021457359258	1733.021457359258	1733.021457359258	1733.021457359258	2.2
1719.7889345813585	1719.7889345813585	1719.7889345813585	1719.7889345813585	1719.7889345813585	1719.7889345813585	2.24
1718.590638757315	1718.590638757315	1718.590638757315	1718.590638757315	1718.590638757315	1718.590638757315	2.28
1731.2352103666587	1731.2352103666587	1731.2352103666587	1731.2352103666587	1731.2352103666587	1731.2352103666587	2.32
1730.949009314191	1730.949009314191	1730.949009314191	1730.949009314191	1730.949009314191	1730.949009314191	2.36
1742.3215258694693	1742.3215258694693	1742.3215258694693	1742.3215258694693	1742.3215258694693	1742.3215258694693	2.4
1745.1501439787428	1745.1501439787428	1745.1501439787428	1745.1501439787428	1745.1501439787428	1745.1501439787428	2.44
0.0	0.0	0.0	0.0	0.0	0.0	2.48
0.0	0.0	0.0	0.0	0.0	0.0	2.52
0.0	0.0	0.0	0.0	0.0	0.0	2.56
0.0	0.0	0.0	0.0	0.0	0.0	2.6
0.0	0.0	0.0	0.0	0.0	0.0	2.64
1806.8001594295863	1806.8001594295863	1806.8001594295863	1806.8001594295863	1806.8001594295863	1806.8001594295863	2.68
1802.629724367289	1802.629724367289	1802.629724367289	1802.629724367289	1802.629724367289	1802.629724367289	2.72
1807.7010623497329	1807.7010623497329	1807.7010623497329	1807.7010623497329	1807.7010623497329	1807.7010623497329	2.76
1804.9322493769891	1804.9322493769891	1804.9322493769891	1804.9322493769891	1804.9322493769891	1804.9322493769891	2.8
1791.1608579920485	1791.1608579920485	1791.1608579920485	1791.1608579920485	1791.1608579920485	1791.1608579920485	2.84
1786.4660748989675	1786.4660748989675	1786.4660748989675	1786.4660748989675	1786.4660748989675	1786.4660748989675	2.88
1767.918556230427	1767.918556230427	1767.918556230427	1767.918556230427	1767.918556230427	1767.918556230427	2.92
1768.5903035668389	1768.5903035668389	1768.5903035668389	1768.5903035668389	1768.5903035668389	1768.5903035668389	2.96
1753.2656922131969	1753.2656922131969	1753.2656922131969	1753.2656922131969	1753.2656922131969	1753.2656922131969	3.0
1748.043660496676	1748.043660496676	1748.043660496676	1748.043660496676	1748.043660496676	1748.043660496676	3.04
1717.8296349905386	1717.8296349905386	1717.8296349905386	1717.8296349905386	1717.8296349905386	1717.8296349905386	3.08
1704.9321566760236	1704.9321566760236	1704.9321566760236	1704.9321566760236	1704.9321566760236	1704.9321566760236	3.12
1687.221411727181	1687.221411727181	1687.221411727181	1687.221411727181	1687.221411727181	1687.221411727181	3.16
1677.0487292732503	1677.0487292732503	1677.0487292732503	1677.0487292732503	1677.0487292732503	1677.0487292732503	3.2
1663.4539959604501	1663.4539959604501	1663.4539959604501	1663.4539959604501	1663.4539959604501	1663.4539959604501	3.24
1655.6371355245665	1655.6371355245665	1655.6371355245665	1655.6371355245665	1655.6371355245665	1655.6371355245665	3.28
1651.5517497922012	1651.5517497922012	1651.5517497922012	1651.5517497922012	1651.5517497922012	1651.5517497922012	3.32
1648.69974763048	1648.69974763048	1648.69974763048	1648.69974763048	1648.69974763048	1648.69974763048	3.36
1656.666701157694	1656.666701157694	1656.666701157694	1656.666701157694	1656.666701157694	1656.666701157694	3.4
0.0	0.0	0.0	0.0	0.0	0.0	3.44
0.0	0.0	0.0	0.0	0.0	0.0	3.48
0.0	0.0	0.0	0.0	0.0	0.0	3.52
0.0	0.0	0.0	0.0	0.0	0.0	3.56
0.0	0.0	0.0	0.0	0.0	0.0	3.6
0.0	0.0	0.0	0.0	0.0	0.0	3.64
0.0	0.0	0.0	0.0	0.0	0.0	3.68
0.0	0.0	0.0	0.0	0.0	0.0	3.72
0.0	0.0	0.0	0.0	0.0	0.0	3.76
0.0	0.0	0.0	0.0	0.0	0.0	3.8
0.0	0.0	0.0	0.0	0.0	0.0	3.84
0.0	0.0	0.0	0.0	0.0	0.0	3.88
0.0	0.0	0.0	0.0	0.0	0.0	3.92
0.0	0.0	0.0	0.0	0.0	0.0	3.96
1579.8347780836232	1579.8347780836232	1579.8347780836232	1579.8347780836232	1579.8347780836232	1579.8347780836232	4.0
1583.979451449365	1583.979451449365	1583.979451449365	1583.979451449365	1583.979451449365	1583.979451449365	4.04
1592.5622728601154	1592.5622728601154	1592.5622728601154	1592.5622728601154	1592.5622728601154	1592.5622728601154	4.08
1595.1466222491463	1595.1466222491463	1595.1466222491463	1595.1466222491463	1595.1466222491463	1595.1466222491463	4.12
1616.4197041730972	1616.4197041730972	1616.4197041730972	1616.4197041730972	1616.4197041730972	1616.4197041730972	4.16
1629.459928048024	1629.459928048024	1629.459928048024	1629.459928048024	1629.459928048024	1629.459928048024	4.2
1638.3468249765624	1638.3468249765624	1638.3468249765624	1638.3468249765624	1638.3468249765624	1638.3468249765624	4.24
1644.5088588042358	1644.5088588042358	1644.5088588042358	1644.5088588042358	1644.5088588042358	1644.5088588042358	4.28
1638.4581079892653	1638.4581079892653	1638.4581079892653	1638.4581079892653	1638.4581079892653	1638.4581079892653	4.32
1634.5708764044857	1634.5708764044857	1634.5708764044857	1634.5708764044857	1634.5708764044857	1634.5708764044857	4.36
1626.7676726013904	1626.7676726013904	1626.7676726013904	1626.7676726013904	1626.7676726013904	1626.7676726013904	4.4
1628.6591290429226	1628.6591290429226	1628.6591290429226	1628.6591290429226	1628.6591290429226	1628.6591290429226	4.44
1634.1794945268148	1634.1794945268148	1634.1794945268148	1634.1794945268148	1634.1794945268148	1634.1794945268148	4.48
