Wrist_R	Thumb_R	Index_R	Middle_R	Ring_R	Pinky_R	Time
0.0	0.0	0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.0	0.0	0.0	0.24
0.0	0.0	0.0	0.0	0.0	0.0	0.28
0.0	0.0	0.0	0.0	0.0	0.0	0.32
0.0	0.0	0.0	0.0	0.0	0.0	0.36
0.0	0.0	0.0	0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.0	0.0	0.0	0.44
0.0	0.0	0.0	0.0	0.0	0.0	0.48
0.0	0.0	0.0	0.0	0.0	0.0	0.52
0.0	0.0	0.0	0.0	0.0	0.0	0.56
1824.5080150200886	1742.255235139684	1458.2121690225574	1479.9421045983818	1478.1674998942437	1482.8527522650613	0.6
1838.956183130981	1752.6898742467108	1461.2154278239634	1467.8997872354291	1465.1944705706517	1478.8663446047024	0.64
1831.132938322738	1764.6418185845882	1461.6732206920976	1469.9802265900094	1459.576513188346	1466.7815482448746	0.68
1818.8880816558312	1764.018671204611	1474.44770984452	1472.4237671739659	1462.2192747343277	1467.876851956439	0.72
1809.0948372298778	1761.6756950507677	1496.4087245525127	1476.4188954382485	1468.4231569829724	1485.8135970190892	0.76
1791.8974012844724	1759.7558925893384	1522.9438807106249	1496.7901623762536	1481.6311303376556	1497.7905472061839	0.8
1778.797808682463	1751.7301721223157	1544.6798965586836	1509.8784701874274	1494.1873340898035	1508.3635332002896	0.84
1764.745558712292	1749.7386914210342	1578.0321310611005	1525.0920492007272	1503.6799359364275	1520.3483831283052	0.88
1762.616402685909	1743.563028756548	1587.142332656249	1546.9485931435281	1517.2889165678846	1533.560552195618	0.92
1765.031338803055	1743.4012551444182	1587.626121394527	1559.5887277372606	1533.7161055767951	1545.7396873338057	0.96
1767.524464866671	1742.7003622338111	1589.0634909533378	1576.4265558425739	1558.874571267671	1573.2553305614747	1.0
1771.0040398780122	1737.4181891975213	1590.830944323422	1592.7377163173514	1590.1041406474912	1600.85193249974	1.04
1774.5073379889864	1727.903843149192	1604.9756898546218	1623.7024732600853	1640.0998610982124	1637.953195269036	1.08
1777.7148289663292	1703.6791545244992	1604.3243894915147	1650.3177607581201	1659.046683852511	1660.6275382728447	1.12
1776.4421149915513	1696.8444067044513	1588.796602526068	1635.1350302243284	1647.171319334723	1650.4871925962475	1.16
1790.2026504680578	1677.8830282754095	1573.4701826290748	1638.5394144849577	1655.315286325169	1678.0767941693152	1.2
1807.6406115153297	1655.2458838226846	1560.6446682794597	1630.9595427741058	1651.1154683057748	1661.2557164714988	1.24
1832.1525000402812	1627.4096384070815	1532.3878793472934	1617.1162031328795	1641.5809174799397	1656.365888377305	1.28
1890.2005446010694	1595.6774557623976	1521.1020950705777	1594.7926503282035	1619.6108222916646	1636.4595897046142	1.32
1935.2893475980914	1591.999213797231	1516.0308449520558	1606.5555690298017	1638.2199772183956	1669.418112197423	1.36
1974.6736069123892	1606.6283234794585	1520.812118167268	1595.1536288818434	1651.7060127577847	1697.5428789337905	1.4
1992.9934663188747	1612.618915909815	1519.0928266177007	1545.9658109133136	1617.3015426258346	1663.9608666686734	1.44
2010.0586560136646	1626.9206288782555	1529.493972247551	1534.494363972011	1593.8013287494712	1643.135186582732	1.48
2012.279022720958	1627.2091915272465	1536.3005952624378	1542.4916103849791	1600.646887584346	1646.0227053435763	1.52
2010.1177908797004	1621.7021543954104	1549.6857117297552	1559.3853339953407	1625.1706800583438	1671.8153778453855	1.56
2000.3696955939597	1615.413972565313	1555.6764764122972	1536.690320717783	1609.3733129565926	1657.2302933365004	1.6
1998.3561729822525	1611.948901512366	1541.9356229744612	1541.8739478021578	1600.952069518561	1643.6258919300715	1.64
1988.9841497102532	1611.4647121743394	1538.2924421791554	1537.0999602525474	1596.2498113564416	1638.2970136290626	1.68
1989.1786259638297	1608.2694948790013	1532.8733173655212	1546.9219925703455	1599.0341385451882	1640.7530547253857	1.72
1988.0235526726974	1615.8176827297336	1530.1921595521328	1572.7212887633473	1608.9092524050202	1633.1016947961862	1.76
1989.0810192618173	1618.487789218646	1527.487025353226	1573.3863562384954	1603.841147202629	1629.3695094160068	1.8
1992.2892755460962	1619.7221220302754	1527.6723891520633	1594.4664612759223	1620.3460907713509	1643.004073293572	1.84
1994.5607599656066	1626.7698033857012	1530.7947519304937	1592.0398219681554	1625.7894563084099	1651.6108300858498	1.88
1993.5747545309962	1635.9437943089542	1530.179239066796	1583.0958377012666	1617.946823643261	1646.5595948444854	1.92
1997.3954468293687	1613.9473496195196	1523.1628704903535	1563.2230416281466	1597.7896577908705	1632.5671409022625	1.96
2012.5532689775137	1602.1839449848028	1520.1819930841054	1551.0489806094758	1593.32572753562	1632.2842282014128	2.0
2011.3167248291409	1623.8903095026676	1536.3162184588098	1546.819453105796	1594.0962416658233	1637.10583871832	2.04
2002.3893611055062	1621.0819164191787	1540.647050695463	1590.6430807399518	1627.121198604506	1647.0576680809659	2.08
2003.9739280167746	1606.624481858106	1517.4603319295677	1546.7585144872744	1592.9231208283586	1633.3316915822486	2.12
1996.1107579139102	1581.9713908522551	1514.0682494181883	1537.4725867059074	1575.8714997952131	1608.2653873693605	2.16
1987.0265974465512	1560.6277318403295	1493.8327811199829	1549.3062012015075	1576.6881130697036	1600.7883731051083	2.2
1979.5230790782407	1539.3495997904338	1490.7870773812779	1486.0795529276256	1538.6983122360305	1583.831944715211	2.24
1956.4552867977943	1520.4765759205538	1459.639007922765	1462.4539931097297	1508.5322476358938	1545.815955759011	2.28
1949.6079205167568	1500.913664855346	1424.9502622321481	1428.6817115576862	1483.562392926818	1531.1283668883195	2.32
1947.967326211366	1487.164680413703	1406.6086632173196	1413.2107992530441	1459.056808891502	1507.767269224119	2.36
1934.1246716520625	1472.0779099389529	1423.756792988395	1393.7061615658215	1438.7260403396763	1476.6477936675376	2.4
1939.1929455689415	1465.1981089590943	1376.7432858984214	1377.100709451009	1423.9818270829396	1477.958566442708	2.44
1928.6323023281166	1437.582955606356	1374.0900543365901	1365.3954926394595	1414.8602149036335	1452.926562585981	2.48
1934.8004847217833	1431.012841290614	1344.901512818334	1340.6733901767257	1380.4929271274334	1435.8468513462792	2.52
1952.2648931721656	1443.8986353944213	1372.5708216233008	1352.216961261839	1390.1673941537458	1440.5909456768213	2.56
1972.8739273575143	1453.1255175789959	1375.2998811439645	1390.7373702620825	1423.0691671942009	1470.8556476238464	2.6
2009.418170921787	1488.783868488122	1425.0627321652487	1385.1156980078079	1440.3364819492895	1490.2077803906725	2.64
2029.7847952375832	1488.7051310735897	1407.9787203215703	1421.2636155499436	1448.262643034465	1505.630100295044	2.68
0.0	0.0	0.0	0.0	0.0	0.0	2.72
0.0	0.0	0.0	0.0	0.0	0.0	2.76
0.0	0.0	0.0	0.0	0.0	0.0	2.8
0.0	0.0	0.0	0.0	0.0	0.0	2.84
0.0	0.0	0.0	0.0	0.0	0.0	2.88
0.0	0.0	0.0	0.0	0.0	0.0	2.92
0.0	0.0	0.0	0.0	0.0	0.0	2.96
0.0	0.0	0.0	0.0	0.0	0.0	3.0
0.0	0.0	0.0	0.0	0.0	0.0	3.04
0.0	0.0	0.0	0.0	0.0	0.0	3.08
0.0	0.0	0.0	0.0	0.0	0.0	3.12
0.0	0.0	0.0	0.0	0.0	0.0	3.16
0.0	0.0	0.0	0.0	0.0	0.0	3.2
0.0	0.0	0.0	0.0	0.0	0.0	3.24
0.0	0.0	0.0	0.0	0.0	0.0	3.28
0.0	0.0	0.0	0.0	0.0	0.0	3.32
0.0	0.0	0.0	0.0	0.0	0.0	3.36
0.0	0.0	0.0	0.0	0.0	0.0	3.4
0.0	0.0	0.0	0.0	0.0	0.0	3.44
0.0	0.0	0.0	0.0	0.0	0.0	3.48
1916.8155813911067	1916.8155813911067	1916.8155813911067	1916.8155813911067	1916.8155813911067	1916.8155813911067	3.52
1900.134767707581	1900.134767707581	1900.134767707581	1900.134767707581	1900.134767707581	1900.134767707581	3.56
1903.3361935231567	1903.3361935231567	1903.3361935231567	1903.3361935231567	1903.3361935231567	1903.3361935231567	3.6
1895.7774101665939	1895.7774101665939	1895.7774101665939	1895.7774101665939	1895.7774101665939	1895.7774101665939	3.64
1888.22712776181	1888.22712776181	1888.22712776181	1888.22712776181	1888.22712776181	1888.22712776181	3.68
1873.0872660421408	1873.0872660421408	1873.0872660421408	1873.0872660421408	1873.0872660421408	1873.0872660421408	3.72
1880.8586166090647	1880.8586166090647	1880.8586166090647	1880.8586166090647	1880.8586166090647	1880.8586166090647	3.76
1879.328376346292	1879.328376346292	1879.328376346292	1879.328376346292	1879.328376346292	1879.328376346292	3.8
1887.1288582936181	1887.1288582936181	1887.1288582936181	1887.1288582936181	1887.1288582936181	1887.1288582936181	3.84
1889.480732554608	1889.480732554608	1889.480732554608	1889.480732554608	1889.480732554608	1889.480732554608	3.88
1889.8833730459708	1889.8833730459708	1889.8833730459708	1889.8833730459708	1889.8833730459708	1889.8833730459708	3.92
1895.9348957620598	1895.9348957620598	1895.9348957620598	1895.9348957620598	1895.9348957620598	1895.9348957620598	3.96
1894.2334630849741	1894.2334630849741	1894.2334630849741	1894.2334630849741	1894.2334630849741	1894.2334630849741	4.0
1892.0678796430534	1892.0678796430534	1892.0678796430534	1892.0678796430534	1892.0678796430534	1892.0678796430534	4.04
1894.41033528832	1894.41033528832	1894.41033528832	1894.41033528832	1894.41033528832	1894.41033528832	4.08
1892.6193848623627	1892.6193848623627	1892.6193848623627	1892.6193848623627	1892.6193848623627	1892.6193848623627	4.12
1891.5256071897122	1891.5256071897122	1891.5256071897122	1891.5256071897122	1891.5256071897122	1891.5256071897122	4.16
1891.9040178470243	1891.9040178470243	1891.9040178470243	1891.9040178470243	1891.9040178470243	1891.9040178470243	4.2
1888.420879602988	1888.420879602988	1888.420879602988	1888.420879602988	1888.420879602988	1888.420879602988	4.24
1894.0500113798055	1894.0500113798055	1894.0500113798055	1894.0500113798055	1894.0500113798055	1894.0500113798055	4.28
1893.254154241998	1893.254154241998	1893.254154241998	1893.254154241998	1893.254154241998	1893.254154241998	4.32
