Thumb_R	Index_R	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
0.0	0.0	0.8
0.0	0.0	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
0.0	0.0	1.08
0.0	0.0	1.12
0.0	0.0	1.16
0.0	0.0	1.2
0.0	0.0	1.24
0.0	0.0	1.28
0.0	0.0	1.32
0.0	0.0	1.36
0.0	0.0	1.4
0.0	0.0	1.44
1683.4143533699646	1681.7483095113284	1.48
1542.2982246561517	1531.0146058919347	1.52
1422.212294630882	1406.1772477727743	1.56
1312.8128676067543	1305.224793153959	1.6
1241.227919602207	1226.7341116101168	1.64
1196.661330809235	1164.9574671819291	1.68
1155.8622178117073	1124.3315409478084	1.72
1144.6636053307502	1098.581331839939	1.76
1134.0479784075935	1083.5800772627217	1.8
1137.8780035384084	1080.455201235133	1.84
1141.106526995023	1081.4068377058102	1.88
1143.8042245637832	1089.687346625953	1.92
1143.8135756648335	1088.128403739382	1.96
1140.3930360971526	1089.7409028347488	2.0
1138.125096157441	1089.975917429053	2.04
1136.329264092876	1089.9505858399928	2.08
1129.2995386498906	1086.8944085808066	2.12
1126.6992695480837	1080.151439660276	2.16
1117.490127154829	1078.4118357308053	2.2
1112.1225454302223	1071.8638702051462	2.24
1116.2658721432745	1069.1032615729684	2.28
1123.342006733744	1079.2282163797247	2.32
1124.9952725894766	1078.8214953335548	2.36
1124.4660650946664	1075.7812213133127	2.4
1129.3933717113096	1083.8949742771674	2.44
1138.0936835473944	1090.9939724960666	2.48
1146.6094869013082	1101.6336409654482	2.52
1152.565667773078	1104.2424583048976	2.56
1161.2498621855875	1119.1884471846972	2.6
